indicator_id,indicator_name,Numerator,Denominator,Description
no_of_adolescent_boys_and_girls_benefitted_from_peer_to_peer_support_from_in_adolescent_clubs,Number of adolescent boys and girls benefitted from peer to peer support from in adolescent clubs,,,
no_of_adolescent_boys_and_girls_provided_life_skills_new_generations_skills_in_adolescent_friendly_centers_adolescent_social_hubs_girls_friendly_facilities,Number of adolescent boys and girls provided life skills & new generations skills in adolescent friendly centers (Adolescent Social Hubs & Girls Friendly facilities),,,
no_of_adolescents_gained_life_and_new_genreation_skills_through_adolscents_social_hubs_and_girls_friendly _facilities_and_clubs.,Number of  adolescents gained life and new genreation skills through adolscents social Hubs and girls Friendly  facilities and clubs.,,,
no_of_ante_natal_care_anc_visits,Number of Ante-Natal Care (ANC) visits,,,
no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_natural_disaster_affected_persons_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"Number of at-risk IDP, returnee and non-displaced conflict or natural-disaster-affected persons receiving multi-sectoral GBV services (psycho-social, legal, safety, health & case management)",,,
no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_naturaldisaster_affected_receiving_gbv_related_legal_support,"Number of at-risk IDP, returnee and non-displaced conflict or naturaldisaster-affected  receiving GBV related  legal support",,,
no_of_at_risk_idp_returnee_and_non_displaced_conflict_or_naturaldisaster_affected_receiving_integrated_gbv_related_health_assistance,"Number of at-risk IDP, returnee and non-displaced conflict or naturaldisaster-affected  receiving integrated  GBV related health assistance",,,
no_of_at_risk_persons_reached_with_mental_health_and_psychosocial_well_being_services_to_prevent_or_respond_to_gbv,Number of  at-risk persons reached with mental health and psychosocial well-being services to prevent or respond to GBV,,,
no_of_at_risk_vulnerable_populations_receiving_multi_sectoral_gbv_services_psycho_social_legal_safety_health_&_case_management,"Number of at-risk vulnerable populations receiving multi-sectoral GBV services  (psycho-social, legal, safety, health & case management)",,,
no_of_boys_and_girls_aged_6_59_months_screened_for_acute_malnutrition,Number of boys and girls aged 6-59 months screened for acute malnutrition,,,
no_of_calls_related_to_food_assistance_responded_to_and_resolved_within_a_week.,Number of calls related to food assistance responded to and resolved within a week.,,,
no_of_case_workers_trained_and_mentored_on_integrated_case_management_services_including_caring_for_child_survivors_cs_of_sgbv,Number of case workers trained and mentored on integrated case management services including Caring for Child Survivors (CS) of SGBV,,,
no_of_cccm_trainings_delivered,Number of CCCM Trainings delivered,,,
no_of_children_and_adolescents_received_conditional_cash_transfers_bursaries_stipends_and_scholarships,"Number of children and adolescents received conditional cash transfers, bursaries, stipends, and scholarships",,,
