_id,active,activity_date,HRP_Code,Core_Indicator_Yes_No,code,name,subdomain_code,subdomain_name,admin0pcode,cluster_id,indicator_id,indicator_name,start_date,end_date,fields
62960b715fe2c737c6b008d8,1,,,,establishment_and_management_of_the_community_centers,Establishment and Management of the Community Centers,cccm_mechanisms,CCCM Mechanisms,AF,CCCM,no_of_community_centers_established_and_operational,Number of community centers established and operational,1/1/2022,
62960b715fe2c737c6b008da,1,,,,cccm_referral_and_escalation_systems_established,CCCM Referral and Escalation Systems Established,cccm_referral_mechanism,CCCM Referral Mechanism,AF,CCCM,no_of_displacement_sites_with_established_referral_mechanisms,Number of displacement sites with established referral mechanisms,1/1/2022,
62960b715fe2c737c6b008d9,1,,,,multi-sectorial_service_coordination_in_isets_and_idp_sites,Multi-sectorial service coordination in ISETs and IDP Sites,cccm_service_coordination,CCCM Service Coordination,AF,CCCM,no_of_isets_and_idp_sites_with_multi_sectorial_service_coordination,Number of ISETs and IDP Sites with multi-sectorial service coordination,1/1/2022,
62960b715fe2c737c6b008dd,1,,,,"cccm_mobile_site_managers_staff_with_cccm_training_tot,_protection,_psea_and_gbv_risk_mitigation_training","CCCM Mobile Site Managers/Staff with CCCM Training (ToT), Protection, PSEA and GBV Risk Mitigation Training",cccm_training_capacity_building_activites,CCCM Training/Capacity Building Activites,AF,CCCM,no_of_cccm_trainings_delivered,Number of CCCM Trainings delivered,1/1/2022,
62960b715fe2c737c6b008db,1,,,,isets_and_idp_sites_with_app_psea_feedback_mechanism,ISETs and IDP sites with APP/PSEA - Feedback Mechanism,feedback_mechanisms,Feedback Mechanisms,AF,CCCM,no_of_displacement_sites_that_have_a_formal_complaint_mechanism_including_psea,Number of displacement sites that have a formal complaint mechanism including PSEA,1/1/2022,
62960b715fe2c737c6b008dc,1,,,,establish_mobile_cccm_team_per_site_area,Establish Mobile CCCM Team per site/area,mobile_site_management,Mobile Site Management,AF,CCCM,no_of_isets_and_idp_sites_with_mobile_cccm_team_per_site_area,Number of ISETs and IDP Sites with Mobile CCCM team per site/area,1/1/2022,
62960b715fe2c737c6b008e4,1,,,,"isets_idp_sites_with_representative_governance_structures,_community_focal_points_and_committees","ISETs / IDP Sites with Representative Governance Structures, Community Focal Points and Committees",participation,Participation,AF,CCCM,no_of_displacement_sites_with_representative_governance_structures,Number of displacement sites with representative governance structures,1/1/2022,
62960b715fe2c737c6b008de,1,,,,population_profiling_and_registration_in_isets_and_idp_sites,Population Profiling and Registration in ISETs and IDP Sites,population_information_management,Population Information Management,AF,CCCM,no_of_displacement_sites_conducting_idp_registration_activities,Number of displacement sites conducting IDP registration activities,1/1/2022,
62960b715fe2c737c6b008e0,1,,,,intention_return_surveys,Intention / Return Surveys,return_relocation_integration,Return/ Relocation/ Integration,AF,CCCM,no_of_return_and_intention_surveys_conducted,Number of Return and Intention Surveys Conducted,1/1/2022,
62960b715fe2c737c6b008df,1,,,,"provision_of_displacement_sites_with_active_relocation,_resettlement_or_return_programmes","Provision of Displacement Sites with Active relocation, Resettlement or Return Programmes",return_relocation_integration,Return/ Relocation/ Integration,AF,CCCM,no_of_displacement_sites_with_active_relocation_reintegration_or_return_programmes,"Number of displacement sites with active relocation, reintegration or return programmes",1/1/2022,
62960b715fe2c737c6b008e1,1,,,,monthly_needs_assessments_in_isets_idp_sites,Monthly needs assessments in ISETs/IDP Sites,service_monitoring,Service Monitoring,AF,CCCM,no_of_needs_assessments_conducted,Number of needs assessments conducted,1/1/2022,
62960b715fe2c737c6b008e2,1,,,,education,Education,service_provision,Service Provision,AF,CCCM,no_of_displacement_sites_with_schools_or_learning_centers,Number of displacement sites with schools or learning centers,1/1/2022,
62960b715fe2c737c6b008e9,1,,,,esnfi,ESNFI,service_provision,Service Provision,AF,CCCM,no_of_displacement_sites_with_nfi_needs_in_which_at_least_one_nfi_distribution_has_taken_place_in_the_last_three_months,"Number of displacement sites with NFI needs, in which at least one NFI distribution has taken place in the last three months",1/1/2022,
62960b715fe2c737c6b008e3,1,,,,food_and_nutrition,Food and Nutrition,service_provision,Service Provision,AF,CCCM,no_of_displacement_sites_with_regular_food_distribution,Number of displacement sites with regular food distribution,1/1/2022,
62960b715fe2c737c6b008e5,1,,,,health,Health assistance,service_provision,Service Provision,AF,CCCM,no_of_displacement_sites_that_have_schools,Number of displacement sites that have schools,1/1/2022,
62960b715fe2c737c6b008e6,1,,,,protection,Protection,service_provision,Service Provision,AF,CCCM,no_of_displacement_sites_where_residents_have_access_to_protection_services,Number of displacement sites where residents have access to protection services,1/1/2022,
62960b715fe2c737c6b008e7,1,,,,shelter,Shelter,service_provision,Service Provision,AF,CCCM,no_of_displacement_sites_where_all_idps_have_access_to_safe_and_dignified_shelter,Number of displacement sites where all IDPs have access to safe and dignified shelter,1/1/2022,
62960b715fe2c737c6b008e8,1,,,,wash,WASH,service_provision,Service Provision,AF,CCCM,no_of_displacement_sites_where_idp_population_has_access_to_portable_water_supply,Number of displacement sites where IDP population has access to portable water supply,1/1/2022,
62960b715fe2c737c6b008ea,1,,,,wash,WASH,service_provision,Service Provision,AF,CCCM,no_of_displacement_sites_where_idp_population_has_access_to_wash_infrastructure.,Number of displacement sites where IDP population has access to WASH infrastructure.,1/1/2022,
62960b715fe2c737c6b008eb,1,,,,risk_communication_and_information_campaigns_on_covid-19,Risk communication and information campaigns on COVID-19,sharing_information,Sharing Information,AF,CCCM,no_of_information_products_distributed_to_the_affected_population_through_a_variety_of_mechanisms_on_covid_19,Number of information products distributed to the affected population through a variety of mechanisms on COVID-19,1/1/2022,
62960b715fe2c737c6b008ec,1,,,,risk_communication_and_information_campaigns_on_flood_risk_mitigation,Risk communication and information campaigns on Flood Risk Mitigation,sharing_information,Sharing Information,AF,CCCM,no_of_information_products_distributed_to_the_affected_population_through_a_variety_of_mechanisms_on_flood_risk_mitigation,Number of information products distributed to the affected population through a variety of mechanisms on Flood Risk Mitigation,1/1/2022,
62960b715fe2c737c6b008ed,1,,,,conduct_safety_audits_rapid_gender_assesssments,Conduct safety audits/rapid gender assesssments,site_care_and_maintenance,Site Care and Maintenance,AF,CCCM,no_of_safety_audits_rapid_gender_assesssments_conducted,Number of safety audits/rapid gender assesssments conducted,1/1/2022,
62960b715fe2c737c6b008ef,1,,,,ensure_care_and_maintenance_of_the_isets_and_idp_site‚Äôs_infrastructure,Ensure care and maintenance of the ISETs and IDP site‚Äôs infrastructure,site_care_and_maintenance,Site Care and Maintenance,AF,CCCM,no_of_sites_provided_care_and_maintenance_of_the_isets_and_idp_sites_infrastrucutre,Number of sites provided care and maintenance of the ISETs and IDP sites Infrastrucutre,1/1/2022,
,,,AFG_2023,,,Accountability to affected People WG,CC1,Coordination and Common Services ,AF,CCS,,AAP common services,1/1/2023,
,,,AFG_2023,,,Accountability to affected People WG,CC1,Coordination and Common Services ,AF,CCS,,Awaaz core budget,1/1/2023,
,,,AFG_2023,,,Assessments,CC1,Coordination and Common Services ,AF,CCS,,"IOM:DTM, Cross-border monitoring, Rapid needs assessments",1/1/2023,
,,,AFG_2023,,,Assessments,CC1,Coordination and Common Services ,AF,CCS,,"REACH: WoA, JMMI, HSM and State of Afghan cities",1/1/2023,
,,,AFG_2023,,,Camp Coordination and Camp Management Working Group,CC1,Coordination and Common Services ,AF,CCS,,CCCM Training/Capacity Building Activites (train CCCM Staff),1/1/2023,
,,,AFG_2023,,,Camp Coordination and Camp Management Working Group,CC1,Coordination and Common Services ,AF,CCS,,Population information management (develop site profiles),1/1/2023,
,,,AFG_2023,,,"Coordination, common services and information management",CC1,Coordination and Common Services ,AF,CCS,,iMMAP: HRP monitoring - ReportHub requirements,1/1/2023,
,,,AFG_2023,,,"Coordination, common services and information management",CC1,Coordination and Common Services ,AF,CCS,,OCHA overall requirements,1/1/2023,
,,,AFG_2023,,,Disability Inclusion WG,CC1,Coordination and Common Services ,AF,CCS,,DIWG common services,1/1/2023,
,,,AFG_2023,,,Gender in Humanitarian Action TF,CC1,Coordination and Common Services ,AF,CCS,,"Data collection and production of gender related products, alerts and research (including RGA) as well as tracking of gender related HRP indicators",1/1/2023,
,,,AFG_2023,,,Gender in Humanitarian Action TF,CC1,Coordination and Common Services ,AF,CCS,,"GiHA national and sub-national coordination (Kabul and five provinces (Bamyan, Herat, Kandahar, Mazar, Nangarhar) (salaries and collaboration with women CSOs to co-lead GiHA WG in provinces, field missions)",1/1/2023,
,,,AFG_2023,,,Gender in Humanitarian Action TF,CC1,Coordination and Common Services ,AF,CCS,,"Support to the inclusion of women CSOs and NGOs in the humanitarian response (collaboration, capacity building, building roster of women CSOs and humanitarian actors, and monitoring of cluster response with a gender lens)",1/1/2023,
,,,AFG_2023,,,Gender in Humanitarian Action TF,CC1,Coordination and Common Services ,AF,CCS,,"Support to the Women Advisory Group (WAG) to the HCT (meeting costs, logistic costs, travel costs, training costs)",1/1/2023,
,,,AFG_2023,,,Gender in Humanitarian Action TF,CC1,Coordination and Common Services ,AF,CCS,,"Training and gender capacity building initiatives for all clusters at national and regional level, based on needs identified (training costs, interpretation costs)",1/1/2023,
,,,AFG_2023,,,Protection from Sexual Exploitation and Abuse TF,CC1,Coordination and Common Services ,AF,CCS,,"PSEA Support – investigations, prevention, survivor assistance, etc.",1/1/2023,
,,,,,,Capacity Building/Training/Technical Support - Teachers/Volunteers trained on School Record Keeping,E2.1,Curricula,AF,EDU,,Number of teachers/volunteers trained on school record keeping,1/1/2023,
,,,,,,Capacity Building/Training/Technical Support - Teachers/Volunteers trained on Teaching at the Right Level (TaRL),E2.1,Curricula,AF,EDU,,Number of teachers/volunteers trained on teaching at the right level (tarl),1/1/2023,
,,,AFG_2023,,,"Establish and train Shuras on roles and responsibilities, community mobilization and preparedness planning",E2.1,Curricula,AF,EDU,,"Number of Shuras trained on roles and responsibilities, community mobilization and preparedness planning*",1/1/2023,
,,,,,,School Based Management Committee (SBMC) established,E2.1,Curricula,AF,EDU,,Number of sbmc established,1/1/2023,
,,,,,,School Based Management Committee (SBMC) functional,E2.1,Curricula,AF,EDU,,Number of schools with functional sbmcs,1/1/2023,
,,,,,,School Based Management Committee (SBMC) members trained in Conflict Sensitive Education,E2.1,Curricula,AF,EDU,,Number of sbmc members trained in conflict sensitive education,1/1/2023,
,,,,,,School Based Management Committee (SBMC) members trained in Disaster Risk Reduction,E2.1,Curricula,AF,EDU,,Number of sbmc members trained in disaster risk reduction,1/1/2023,
,,,,,,School Based Management Committee (SBMC) members trained in Psychological First Aid,E2.1,Curricula,AF,EDU,,Number of sbmc members trained in psychological first aid,1/1/2023,
,,,,,,School Based Management Committee (SBMC) members trained in Psychosocial Support,E2.1,Curricula,AF,EDU,,Number of sbmc members trained in psychosocial support,1/1/2023,
,,,,,,School Based Management Committee (SBMC) members trained in school management,E2.1,Curricula,AF,EDU,,Number of sbmc members trained in school management,1/1/2023,
,,,,,,School Based Management Committee (SBMC) members trained on Child Protection in Emergencies,E2.1,Curricula,AF,EDU,,Number of sbmc members trained on child protection in emergencies,1/1/2023,
,,,AFG_2023,,,"Teacher training activities on standardized Teacher training manual, including PSS/disability and inclusion",E2.1,Curricula,AF,EDU,,"Number of teachers (m/f) trained on standardized Teacher training manual, including PSS/disability and inclusion.*",1/1/2023,
,,,,,,Teachers/Volunteers trained in Child Rights,E2.1,Curricula,AF,EDU,,Number of teachers/volunteers trained in child rights,1/1/2023,
,,,,,,Teachers/Volunteers trained in Conflict Disaster Risk Reduction (CDRR),E2.1,Curricula,AF,EDU,,Number of teachers/volunteers trained in conflict disaster risk reduction(cdrr),1/1/2023,
,,,,,,Teachers/Volunteers trained in Gender Based Violence (GBV),E2.1,Curricula,AF,EDU,,Number of teachers/volunteers trained in gender based violence (gbv),1/1/2023,
,,,,,,Teachers/Volunteers trained in Pedagogy,E2.1,Curricula,AF,EDU,,Number of teachers/volunteers trained in pedagogy,1/1/2023,
,,,,,,Teachers/Volunteers trained in Positive Discipline,E2.1,Curricula,AF,EDU,,Number of teachers/volunteers trained in positive discipline,1/1/2023,
,,,,,,Teachers/Volunteers trained in Psychosocial support (PSS),E2.1,Curricula,AF,EDU,,Number of teachers/volunteers trained in psychosocial support (pss),1/1/2023,
62960b715fe2c737c6b00134,1,0,,,teacher_training_psychosocial_first_aid,Train Teachers in Psychosocial First Aid (PFA),teacher_training,Curricula,AF,EDU,,,,
62960b715fe2c737c6b00131,1,0,,,school_campaign,Back to School Campaign,education_awareness,Education Awareness,AF,EDU,,,,
,,,AFG_2023,,,Alternative learning modalities developed and implemented,E1.1,Equal Access,AF,EDU,,Number of secondary school girls reached through alternative learning modalities,1/1/2023,
,,,,,,Back to School Campaign conducted,E1.1,Equal Access,AF,EDU,,Number of back to school campaign conducted,1/1/2023,
,,,AFG_2023,,,Establish/maintain Community-Based Classes (CBCs),E1.1,Equal Access,AF,EDU,,"Number of boys and girls enrolled in  CBE, ALC, MBE and TLS*",1/1/2023,
,,,AFG_2023,,,Establish/maintain Community-Based Classes (CBCs),E1.1,Equal Access,AF,EDU,,"Number of CBE, ALC, MBE and TLS established and maintained",1/1/2023,
,,,,,,Learners enrolled,E1.1,Equal Access,AF,EDU,,Number of learners enrolled,1/1/2023,
,,,,,,Learners with disabilities enrolled,E1.1,Equal Access,AF,EDU,,Number of learners with disabilities enrolled,1/1/2023,
,,,,,,School Principal/ TLS Administrator reached with awareness on Covid-19,E1.1,Equal Access,AF,EDU,,,1/1/2023,
,,,AFG_2023,,,Support shock-affected vulnerable boys and girls with emergency education support.,E1.1,Equal Access,AF,EDU,,"Number of boys and girls in public schools receiving learning materials (student kits, teaching kits, classroom kits, hygiene kits, drinking water, rehabilitated infrastructures)",1/1/2023,
,,,,,,Tsangaya/Islamiyyah Teacher reached with awareness on Covid-19,E1.1,Equal Access,AF,EDU,,,1/1/2023,
,,,,,,Formal & Non-Formal School Establishment - Classrooms rehabilited,E1.2,Facilities and services,AF,EDU,,Number of classrooms rehabilited,1/1/2023,
,,,,,,Formal & Non-Formal School Establishment - Establishment of Temporary Classrooms (TCs),E1.2,Facilities and services,AF,EDU,,,1/1/2023,
,,,,,,Formal & Non-Formal School Establishment - Temporary Learning Space (TLS) constructed,E1.2,Facilities and services,AF,EDU,,Number of temporary learning space (tls) constructed,1/1/2023,
,,,,,,Schools/Learning Spaces - Children participating in clubs activities,E1.2,Facilities and services,AF,EDU,,Number of children participating in clubs activities,1/1/2023,
,,,,,,Schools/Learning Spaces - Schools that have children groups/clubs/recreation activities,E1.2,Facilities and services,AF,EDU,,Number of schools that have children groups/clubs/recreation activities,1/1/2023,
,,,,,,Teaching & Learning Materials Supplies - Desks provided to learners,E1.2,Facilities and services,AF,EDU,,Number of desks provided to learners,1/1/2023,
,,,,,,"Teaching & Learning Materials Supplies - Learning pack (School Bags, Stationaries, Pencil, Ruler etc.)",E1.2,Facilities and services,AF,EDU,,"Number of learning pack (school bags, stationaries, pencil, ruler etc.)",1/1/2023,
,,,,,,Teaching & Learning Materials Supplies - Marker Boards provided,E1.2,Facilities and services,AF,EDU,,Number of marker boards provided,1/1/2023,
,,,,,,"Teaching & Learning Materials Supplies - Provision of Information, Education Communication Materials (IEC)",E1.2,Facilities and services,AF,EDU,,,1/1/2023,
,,,,,,Teaching & Learning Materials Supplies - School Text Books provided to Teachers,E1.2,Facilities and services,AF,EDU,,Number of school text books provided to teachers,1/1/2023,
,,,,,,Teaching & Learning Materials Supplies - Tables provided to teachers,E1.2,Facilities and services,AF,EDU,,Number of tables provided to teachers,1/1/2023,
,,,,,,WASH Supplies - Boreholes constructed,E1.2,Facilities and services,AF,EDU,,Number of boreholes constructed,1/1/2023,
,,,,,,WASH Supplies - Hand washing stations provided in the school / learning centre / space,E1.2,Facilities and services,AF,EDU,,Number of hand washing stations provided in the school / learning centre / space,1/1/2023,
,,,,,,WASH Supplies - Hygiene / Dignity Kits,E1.2,Facilities and services,AF,EDU,,Number of hygiene / dignity kits,1/1/2023,
,,,,,,WASH Supplies - Latrines / toilets provided in the school / learning centre / space,E1.2,Facilities and services,AF,EDU,,Number of latrines / toilets provided in the school / learning centre / space,1/1/2023,
