activity_description_id,activity_detail_id,activity_detail_name,activity_type_id,cluster_id
community_participation,community_involvement_in_decision_making,Community Involvement in Decision Making,accountability,wash
conditional_restricted,delivery_through_agent,Delivery Through Agent,cash_transfer_programming,wash
conditional_restricted,direct_cash_payment,Direct Cash Payment,cash_transfer_programming,wash
conditional_restricted,mobile_phone_transfer,Mobile Phone Transfer,cash_transfer_programming,wash
conditional_restricted,prepaid_cards,Prepaid Cards,cash_transfer_programming,wash
conditional_restricted,physical_voucher,Physical Voucher,cash_transfer_programming,wash
conditional_restricted,smart_card_chipped,Smart Card (Chipped),cash_transfer_programming,wash
conditional_unrestricted,delivery_through_agent,Delivery Through Agent,cash_transfer_programming,wash
conditional_unrestricted,direct_cash_payment,Direct Cash Payment,cash_transfer_programming,wash
conditional_unrestricted,physical_voucher,Physical Voucher,cash_transfer_programming,wash
conditional_unrestricted,prepaid_cards,Prepaid Cards,cash_transfer_programming,wash
conditional_unrestricted,smart_card_chipped,Smart Card (Chipped),cash_transfer_programming,wash
conditional_unrestricted,mobile_phone_transfer,Mobile Phone Transfer,cash_transfer_programming,wash
construction_water_facilities,borehole_construction,Borehole Construction,water,wash
construction_water_facilities,reticulation_construction,Reticulation Construction,water,wash
hygiene_kit_distribution,cholera_kit_distribution,Cholera Kit Distribution,hygiene,wash
hygiene_kit_distribution,hygiene_promotion_volunteers_kit_distribution,Hygiene Promotion Volunteers Kit Distribution,hygiene,wash
hygiene_kit_distribution,initial_hygiene_kit_distribution,Initial Hygiene Kit Distribution,hygiene,wash
construction_water_facilities,borehole_upgrade,Borehole Upgrade,water,wash
hygiene_kit_distribution,post_distribution_monitoring,Post Distribution Monitoring,hygiene,wash
hygiene_kit_distribution,replenishment_hygiene_kit_distribution,Replenishment Hygiene Kit Distribution,hygiene,wash
hygiene_promotion,focus_group_sessions,Focus Group Sessions,hygiene,wash
hygiene_promotion,house_to_house_visit,House to House Visits,hygiene,wash
hygiene_promotion,hygiene_promotion_monitoring_visits,Hygiene Promotion Monitoring Visits,hygiene,wash
hygiene_promotion,hygiene_promotion_volunteers_recruitment_training,Hygiene Promotion Volunteers Recruitment and Training,hygiene,wash
hygiene_kit_distribution,covid19_kit_distribution,COVID-19 Kit Distribution,hygiene,wash
hygiene_promotion,mass_campaigns,Mass Campaigns (Radio / TV),hygiene,wash
hygiene_promotion,leaflet_flyer_distribution,Leaflet / Flyer Distribution,hygiene,wash
hygiene_promotion,other_campaigns,Other Campaigns,hygiene,wash
mhm_kit_distribution,mhm_kit_distribution,MHM Kit Distribution,hygiene,wash
hygiene_promotion,speaker_campaigns,Speaker Campaigns,hygiene,wash
mhm_hygiene_promotion,mhm_hygiene_promotion,MHM Hygiene Promotion,hygiene,wash
latrines,hand_washing_stations_refilled,Hand Washing Stations (Refilled),sanitation,wash
latrines,latrine_cleaning_disinfection_emergency,Latrine Cleaning and Disinfection (Emergency),sanitation,wash
latrines,latrine_cleaning_disinfection_vip,Latrine Cleaning and Disinfection (VIP),sanitation,wash
latrines,latrine_construction_emergency,Latrine Construction (Emergency),sanitation,wash
latrines,latrine_construction_hh,Latrine Construction (HH),sanitation,wash
latrines,hand_washing_stations_installation,Hand Washing Stations (Installation),sanitation,wash
latrines,latrine_construction_vip,Latrine Construction (VIP),sanitation,wash
latrines,latrine_desludging_manual,Latrine Desludging (Manual),sanitation,wash
latrines,latrine_desludging_mechanical,Latrine Desludging (Mechanical),sanitation,wash
latrines,latrine_gender_marking_emergency,Latrine Gender Marking (Emergency),sanitation,wash
latrines,latrine_lock_installation_emergency,Latrine Lock Installation (Emergency),sanitation,wash
latrines,latrine_lock_installation_vip,Latrine Lock Installation (VIP),sanitation,wash
latrines,latrine_monitoring,Latrine Monitoring,sanitation,wash
latrines,latrine_gender_marking_vip,Latrine Gender Marking (VIP),sanitation,wash
latrines,latrine_rehabilitation_emergency,Latrine Rehabilitation (Emergency),sanitation,wash
latrines,latrine_rehabilitation_hh,Latrine Rehabilitation (HH),sanitation,wash
latrines,latrine_rehabilitation_vip,Latrine Rehabilitation (VIP),sanitation,wash
latrines,latrine_sludge_dumping_site,Latrine Sludge Dumping Site,sanitation,wash
operations_maintenance,fuel_provision_water,Fuel Provision for Water,water,wash
operations_maintenance,maintenance_repair_replacement_water_systems,Maintenance / Repair and Replacement of Water Systems,water,wash
operations_maintenance,maintenance_repair_kits_provision_to_washcoms,Maintenance / Repair Kits Provision to WASHComs,water,wash
operations_maintenance,washcoms_establishment_training,WASHComs Establishment and Training,water,wash
operations_maintenance,water_chlorination,Water Chlorination,water,wash
project_design_monitoring_evaluation,project_design,Project Design,accountability,wash
operations_maintenance,operation_maintenance_monitoring,Operation and Maintenance Monitoring,water,wash
project_design_monitoring_evaluation,project_monitoring,Project Monitoring,accountability,wash
project_design_monitoring_evaluation,project_evaluation,Project Evaluation on Completion,accountability,wash
rehabilitation_water_facilities,borehole_rehabilitation,Borehole Rehabilitation,water,wash
rehabilitation_water_facilities,reticulation_rehabilitation,Reticulation Rehabilitation,water,wash
sanitation_committee,establishment_training_rotational_sanitation_committee,Establishment and Training of Rotational Sanitation Committee,sanitation,wash
showers,shower_cleaning_disinfection_emergency,Shower Cleaning and Disinfection (Emergency),sanitation,wash
showers,shower_cleaning_disinfection_mid_term,Shower Cleaning and Disinfection (Mid-Term),sanitation,wash
showers,shower_cleaning_disinfection_monitoring,Shower Cleaning and Disinfection Monitoring,sanitation,wash
sanitation_committee,sanitation_committee_kits_distribution,Sanitation Committee Kits Distribution,sanitation,wash
showers,shower_construction_mid_term,Shower Construction (Mid-Term),sanitation,wash
showers,shower_construction_emergency,Shower Construction (Emergency),sanitation,wash
showers,shower_gender_marking_mid_term,Shower Gender Marking (Mid-Term),sanitation,wash
showers,shower_gender_marking_emergency,Shower Gender Marking (Emergency),sanitation,wash
showers,shower_lock_installation_emergency,Shower Lock Installation (Emergency),sanitation,wash
showers,shower_rehabilitation_emergency,Shower Rehabilitation (Emergency),sanitation,wash
