Global cluster,OCHA_Code,Sub-domain,Indicator,Indicator_Local,Unit of Measurement,Denominator,Disaggregation,Indicator used for response monitoring?,Key indicator,Numerator,Sectoral objective,Standards,Strategic objective,Standards,Indicator_Types,Unit_Description,
All Clusters - AAP,AAP-1,Feedback Mechanisms,Number of feedback received (including complaints) which have been acted upon,,feedbacks,N/A,,Yes,Yes,Number of  organisations with formal feedback mechanisms in place,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Section 5: Use feedback to improve project impact",,,Process,Number,
All Clusters - AAP,AAP-2,Sharing Information,"Number of information products distributed to the affected population through a variety of mechanisms on humanitarian program planning, functioning and progress",,products,N/A,,Yes,Yes,# of information messages delivered,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response",,,Process,Number,
All Clusters - AAP,AAP-3,Participation,Number of persons consulted (disaggregated by sex/age) before designing a program/project [alternatively: while implementing the program/project],,Individual,N/A,,Yes,Yes,number of persons consulted,,"HAP Benchmark 4 on Participation, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Tool 3: How to involve people throughout the project",,,Process,Number,
Camp Coordination / Management,AAP-1,AAP-1 Feedback Mechanisms,Number of feedback received (including complaints) which have been acted upon,,feedbacks,N/A,,Yes,Yes,Number of  organisations with formal feedback mechanisms in place,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Section 5: Use feedback to improve project impact",,,Process,Number,
Camp Coordination / Management,AAP-2,AAP-2 Sharing Information,"Number of information products distributed to the affected population through a variety of mechanisms on humanitarian program planning, functioning and progress",,products,N/A,,Yes,Yes,# of information messages delivered,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response",,,Process,Number,
Camp Coordination / Management,AAP-3,AAP-3 Participation,Number of persons consulted (disaggregated by sex/age) before designing a program/project [alternatively: while implementing the program/project],,Individual,N/A,,Yes,Yes,number of persons consulted,,"HAP Benchmark 4 on Participation, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Tool 3: How to involve people throughout the project",,,Process,Number,
Education,AAP-1,AAP-1 Feedback Mechanisms,Number of feedback received (including complaints) which have been acted upon,,feedbacks,N/A,,Yes,Yes,Number of  organisations with formal feedback mechanisms in place,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Section 5: Use feedback to improve project impact",,,Process,Number,
Education,AAP-2,AAP-2 Sharing Information,"Number of information products distributed to the affected population through a variety of mechanisms on humanitarian program planning, functioning and progress",,products,N/A,,Yes,Yes,# of information messages delivered,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response",,,Process,Number,
Education,AAP-3,AAP-3 Participation,Number of persons consulted (disaggregated by sex/age) before designing a program/project [alternatively: while implementing the program/project],,Individual,N/A,,Yes,Yes,number of persons consulted,,"HAP Benchmark 4 on Participation, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Tool 3: How to involve people throughout the project",,,Process,Number,
Food Security,AAP-1,AAP-1 Feedback Mechanisms,Number of feedback received (including complaints) which have been acted upon,,feedbacks,N/A,,Yes,Yes,Number of  organisations with formal feedback mechanisms in place,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Section 5: Use feedback to improve project impact",,,Process,Number,
Food Security,AAP-2,AAP-2 Sharing Information,"Number of information products distributed to the affected population through a variety of mechanisms on humanitarian program planning, functioning and progress",,products,N/A,,Yes,Yes,# of information messages delivered,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response",,,Process,Number,
Food Security,AAP-3,AAP-3 Participation,Number of persons consulted (disaggregated by sex/age) before designing a program/project [alternatively: while implementing the program/project],,Individual,N/A,,Yes,Yes,number of persons consulted,,"HAP Benchmark 4 on Participation, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Tool 3: How to involve people throughout the project",,,Process,Number,
Health,AAP-1,AAP-1 Feedback Mechanisms,Number of feedback received (including complaints) which have been acted upon,,feedbacks,N/A,,Yes,Yes,Number of  organisations with formal feedback mechanisms in place,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Section 5: Use feedback to improve project impact",,,Process,Number,
Health,AAP-2,AAP-2 Sharing Information,"Number of information products distributed to the affected population through a variety of mechanisms on humanitarian program planning, functioning and progress",,products,N/A,,Yes,Yes,# of information messages delivered,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response",,,Process,Number,
Health,AAP-3,AAP-3 Participation,Number of persons consulted (disaggregated by sex/age) before designing a program/project [alternatively: while implementing the program/project],,Individual,N/A,,Yes,Yes,number of persons consulted,,"HAP Benchmark 4 on Participation, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Tool 3: How to involve people throughout the project",,,Process,Number,
Logistics,AAP-1,AAP-1 Feedback Mechanisms,Number of feedback received (including complaints) which have been acted upon,,feedbacks,N/A,,Yes,Yes,Number of  organisations with formal feedback mechanisms in place,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Section 5: Use feedback to improve project impact",,,Process,Number,
Logistics,AAP-2,AAP-2 Sharing Information,"Number of information products distributed to the affected population through a variety of mechanisms on humanitarian program planning, functioning and progress",,products,N/A,,Yes,Yes,# of information messages delivered,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response",,,Process,Number,
Logistics,AAP-3,AAP-3 Participation,Number of persons consulted (disaggregated by sex/age) before designing a program/project [alternatively: while implementing the program/project],,Individual,N/A,,Yes,Yes,number of persons consulted,,"HAP Benchmark 4 on Participation, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Tool 3: How to involve people throughout the project",,,Process,Number,
Nutrition,AAP-1,AAP-1 Feedback Mechanisms,Number of feedback received (including complaints) which have been acted upon,,feedbacks,N/A,,Yes,Yes,Number of  organisations with formal feedback mechanisms in place,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Section 5: Use feedback to improve project impact",,,Process,Number,
Nutrition,AAP-2,AAP-2 Sharing Information,"Number of information products distributed to the affected population through a variety of mechanisms on humanitarian program planning, functioning and progress",,products,N/A,,Yes,Yes,# of information messages delivered,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response",,,Process,Number,
Nutrition,AAP-3,AAP-3 Participation,Number of persons consulted (disaggregated by sex/age) before designing a program/project [alternatively: while implementing the program/project],,Individual,N/A,,Yes,Yes,number of persons consulted,,"HAP Benchmark 4 on Participation, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Tool 3: How to involve people throughout the project",,,Process,Number,
Protection,AAP-1,AAP-1 Feedback Mechanisms,Number of feedback received (including complaints) which have been acted upon,,feedbacks,N/A,,Yes,Yes,Number of  organisations with formal feedback mechanisms in place,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Section 5: Use feedback to improve project impact",,,Process,Number,
Protection,AAP-2,AAP-2 Sharing Information,"Number of information products distributed to the affected population through a variety of mechanisms on humanitarian program planning, functioning and progress",,products,N/A,,Yes,Yes,# of information messages delivered,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response",,,Process,Number,
Protection,AAP-3,AAP-3 Participation,Number of persons consulted (disaggregated by sex/age) before designing a program/project [alternatively: while implementing the program/project],,Individual,N/A,,Yes,Yes,number of persons consulted,,"HAP Benchmark 4 on Participation, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Tool 3: How to involve people throughout the project",,,Process,Number,
Early Recovery,AAP-1,AAP-1 Feedback Mechanisms,Number of feedback received (including complaints) which have been acted upon,,feedbacks,N/A,,Yes,Yes,Number of  organisations with formal feedback mechanisms in place,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Section 5: Use feedback to improve project impact",,,Process,Number,
Early Recovery,AAP-2,AAP-2 Sharing Information,"Number of information products distributed to the affected population through a variety of mechanisms on humanitarian program planning, functioning and progress",,products,N/A,,Yes,Yes,# of information messages delivered,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response",,,Process,Number,
Early Recovery,AAP-3,AAP-3 Participation,Number of persons consulted (disaggregated by sex/age) before designing a program/project [alternatively: while implementing the program/project],,Individual,N/A,,Yes,Yes,number of persons consulted,,"HAP Benchmark 4 on Participation, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Tool 3: How to involve people throughout the project",,,Process,Number,
Emergency Shelter and NFI,AAP-1,AAP-1 Feedback Mechanisms,Number of feedback received (including complaints) which have been acted upon,,feedbacks,N/A,,Yes,Yes,Number of  organisations with formal feedback mechanisms in place,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Section 5: Use feedback to improve project impact",,,Process,Number,
Emergency Shelter and NFI,AAP-2,AAP-2 Sharing Information,"Number of information products distributed to the affected population through a variety of mechanisms on humanitarian program planning, functioning and progress",,products,N/A,,Yes,Yes,# of information messages delivered,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response",,,Process,Number,
Emergency Shelter and NFI,AAP-3,AAP-3 Participation,Number of persons consulted (disaggregated by sex/age) before designing a program/project [alternatively: while implementing the program/project],,Individual,N/A,,Yes,Yes,number of persons consulted,,"HAP Benchmark 4 on Participation, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Tool 3: How to involve people throughout the project",,,Process,Number,
Emergency Telecommunications,AAP-1,AAP-1 Feedback Mechanisms,Number of feedback received (including complaints) which have been acted upon,,feedbacks,N/A,,Yes,Yes,Number of  organisations with formal feedback mechanisms in place,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Section 5: Use feedback to improve project impact",,,Process,Number,
Emergency Telecommunications,AAP-2,AAP-2 Sharing Information,"Number of information products distributed to the affected population through a variety of mechanisms on humanitarian program planning, functioning and progress",,products,N/A,,Yes,Yes,# of information messages delivered,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response",,,Process,Number,
Emergency Telecommunications,AAP-3,AAP-3 Participation,Number of persons consulted (disaggregated by sex/age) before designing a program/project [alternatively: while implementing the program/project],,Individual,N/A,,Yes,Yes,number of persons consulted,,"HAP Benchmark 4 on Participation, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Tool 3: How to involve people throughout the project",,,Process,Number,
Water Sanitation Hygiene,AAP-1,AAP-1 Feedback Mechanisms,Number of feedback received (including complaints) which have been acted upon,,feedbacks,N/A,,Yes,Yes,Number of  organisations with formal feedback mechanisms in place,,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Section 5: Use feedback to improve project impact",,,Process,Number,
