id,cluster,activity_type,activity_desc,activity_detail,indicator
1,Agriculture,Emergency Seed / Tools Distribution,Agricultural Tools Provision,,
2,Agriculture,Emergency Seed / Tools Distribution,Cereal Seed Provision,,
3,Agriculture,Emergency Seed / Tools Distribution,Fertilizer Provision,,
4,Agriculture,Emergency Seed / Tools Distribution,Pulse Seed Provision,,
5,CCCM,CCCM Training/Capacity Building Activites,"CCCM Mobile Site Managers/Staff with CCCM Training (ToT), Protection, PSEA and GBV Risk Mitigation Training",Regular Activity,# of CCCM Trainings delivered
6,Child Protection,Case Management of vulnerable children,Follow-up of cases of children affected by exploitation,,
7,Child Protection,Psychosocial and Mental Health Support Services,"Provide counselling services to children, adolescents and caregivers",,
8,Child Protection,Psychosocial and Mental Health Support Services,Provide life skills education to adolescents,,
9,Child Protection,Psychosocial and Mental Health Support Services,"Provide mobile recreational, creative and social activities to children and adolescents",,
10,Child Protection,Psychosocial and Mental Health Support Services,Provide positive parenting lessons to caregivers,,
11,Child Protection,Psychosocial and Mental Health Support Services,"Provide structured recreational, creative and social activities to children and adolescents",,
12,Child Protection,Psychosocial and Mental Health Support Services,Raise awareness of caregivers and community members on child care and child protection in conflict affected areas,,
13,Child Protection,Psychosocial and Mental Health Support Services,Support community based child protection mechanisms,,
14,Child Protection,Socio-Economic Reintegration,Provide economic reintegration assistance to children and youth who have suffered from grave child rights violations (including former CAAG),,
15,ESNFI,Capacity Building/Technical Support,DRR Training / Awareness,Drought Response,# of people trained
16,ESNFI,Capacity Building/Technical Support,DRR Training / Awareness,Regular Activity,# of people trained
17,ESNFI,Capacity Building/Technical Support,Training on Upgrading/Repairs of shelters,Regular Activity,# of people trained
18,ESNFI,Capacity Building/Technical Support,Training on construction of Permanent Shelters,Regular Activity,# of people trained
19,ESNFI,Capacity Building/Technical Support,Upgrading / Repair of Shelter Training,Regular Activity,
20,ESNFI,ESNFI Distribution,Cash for NFIs (Non-Food Items),,
21,ESNFI,ESNFI Distribution,ESNFI In-Kind,,
22,ESNFI,ESNFI Distribution,ESNFI Mixed (Cash + In-Kind),,
23,ESNFI,ESNFI Distribution,ESNFI in Cash,,
24,ESNFI,ESNFI Distribution,Emergency Shelter Assistance - In Cash,,
25,ESNFI,ESNFI Distribution,Emergency Shelter Assistance - In-Kind,,
26,ESNFI,ESNFI Distribution,Non-Food Items (NFI Kit),,
27,ESNFI,Emergency Shelter Self Construction / Repair Toolkit,Distribution of Emergency Shelter Self Construction / Repair Toolkit,Regular Activity,"# of people receiving emergency shelter assistance, including through cash-for-rent support"
28,ESNFI,Permanent Shelter,Construction of an average sized family permanent shelter (1 bedroomed),Regular Activity,# of people receiving support to construct transitional shelters
29,ESNFI,Rental Support,Rental Support for 3 Months,Regular Activity,"# of people receiving emergency shelter assistance, including through cash-for-rent support"
30,ESNFI,Rental Support,Rental Support for 6 Months,Regular Activity,"# of people receiving emergency shelter assistance, including through cash-for-rent support"
31,ESNFI,Risk Communication,Risk communication and information campaigns on COVID-19,COVID-19 Response,
32,ESNFI,Shelter Reconstruction/Repair,Cash for Rent,,
33,ESNFI,Shelter Reconstruction/Repair,Communal Shelter Construction,,
34,ESNFI,Shelter Reconstruction/Repair,Emergency Shelter Construction,,
35,ESNFI,Shelter Reconstruction/Repair,Emergency Shelter Repair Kits (Full),,
36,ESNFI,Shelter Reconstruction/Repair,Minor Shelter Repair - Kits,,
37,ESNFI,Standard Emergency NFI Kit,Distribution of Standard Emergency NFI Kit,Regular Activity,# of people receiving basic household items / NFI to meet their immediate needs
38,ESNFI,Standard Emergency NFI Kit,Standard Emergency NFI Kit,Drought Response,# of people receiving basic household items / NFI to meet their immediate needs
39,ESNFI,Standard Emergency NFI Kit,Standard Emergency NFI Kit,Regular Activity,# of people receiving basic household items / NFI to meet their immediate needs
40,ESNFI,Standard Emergency Shelter Assistance,Distribution of Tents + 2 tarps,Drought Response,"# of people receiving emergency shelter assistance, including through cash-for-rent support"
41,ESNFI,Standard Emergency Shelter Assistance,Rental Support for 3 months,Regular Activity,"# of people receiving emergency shelter assistance, including through cash-for-rent support"
42,ESNFI,Standard Emergency Shelter Assistance,Shelter Repair/Reconstruction Kit,Regular Activity,"# of people receiving emergency shelter assistance, including through cash-for-rent support"
43,ESNFI,Standard Winterization Assistance,Blanket Package,COVID-19 Response,# of people receiving the winterization standard package
44,ESNFI,Standard Winterization Assistance,Blanket Package,Drought Response,# of people receiving the winterization standard package
45,ESNFI,Standard Winterization Assistance,Blanket Package,Regular Activity,# of people receiving the winterization standard package
46,ESNFI,Standard Winterization Assistance,Winter Clothing Package,COVID-19 Response,# of people receiving the winterization standard package
