activity_description_id,activity_detail_id,activity_detail_name
piped_water_network,regular,Regular Activity
rainwater_system,regular,Regular Activity
hand_dug_well,regular,Regular Activity
shallow_well,regular,Regular Activity
reverse_osmosis_system,regular,Regular Activity
solar_pumping_system,regular,Regular Activity
piped_extension,regular,Regular Activity
borehole,regular,Regular Activity
family_water_kit_distribution,regular,Regular Activity
water_quality_testing,regular,Regular Activity
gravity_fed_water_system,regular,Regular Activity
water_supply_school,regular,Regular Activity
water_tank,regular,Regular Activity
water_tankering,regular,Regular Activity
education_water,regular,Regular Activity
water_supply_community,regular,Regular Activity
water_kiosk,regular,Regular Activity
water_supply_health_facility,regular,Regular Activity
water_treatment,regular,Regular Activity
latrine_stalls_household,regular,Regular Activity
latrine_stalls_communal,regular,Regular Activity
latrine_stalls_desludged,regular,Regular Activity
latrine_stalls_decommissioned,regular,Regular Activity
latrine_cleaning_kit,regular,Regular Activity
latrine_stalls_school,regular,Regular Activity
latrine_stalls_health_facility,regular,Regular Activity
water_filtration,regular,Regular Activity
septic_tank,regular,Regular Activity
sewer_line,regular,Regular Activity
drainage_provision,regular,Regular Activity
solid_waste_management,regular,Regular Activity
education_hygiene_promotion_school,regular,Regular Activity
education_vector_control_awareness,regular,Regular Activity
education_hygiene_promotion_household_community,regular,Regular Activity
family_hygiene_kits_distributed,regular,Regular Activity
hand_washing_facilities,regular,Regular Activity
hygiene_promotion_health_facilities,regular,Regular Activity
washing_facilities,regular,Regular Activity
disinfection_common_places_chlorine,regular,Regular Activity
assessment_wash_school,regular,Regular Activity
assessment_wash_community,regular,Regular Activity
evaluation_baseline,regular,Regular Activity
evaluation_endline,regular,Regular Activity
evaluation_crm,regular,Regular Activity
evaluation_fgd,regular,Regular Activity
evaluation_kap,regular,Regular Activity
evaluation_kii,regular,Regular Activity
evaluation_csi,regular,Regular Activity
evaluation_results_monitoring,regular,Regular Activity
assessment_wash_health_facility,regular,Regular Activity
evaluation_pdm,regular,Regular Activity
assistance_through_cash_distribution,regular,Regular Activity
using_the_wash_gbv_checklist,regular,Regular Activity
assistance_through_voucher_distribution,regular,Regular Activity
covid-19_mitigation_measures_in_placed,regular,Regular Activity
gbv_risk_discussion_with_female_before_assistance,regular,Regular Activity
hand_dug_well,response_covid19,COVID-19 Response
receipt_for_technical_quality_assurance_by_the_authorities,regular,Regular Activity
piped_water_network,response_covid19,COVID-19 Response
rainwater_system,response_covid19,COVID-19 Response
borehole,response_covid19,COVID-19 Response
reverse_osmosis_system,response_covid19,COVID-19 Response
equitable_access_to_wash_facilities_and_services,regular,Regular Activity
effective_mechanisms_for_representative_and_participatory_input,regular,Regular Activity
shallow_well,response_covid19,COVID-19 Response
gravity_fed_water_system,response_covid19,COVID-19 Response
solar_pumping_system,response_covid19,COVID-19 Response
family_water_kit_distribution,response_covid19,COVID-19 Response
water_kiosk,response_covid19,COVID-19 Response
water_supply_health_facility,response_covid19,COVID-19 Response
piped_extension,response_covid19,COVID-19 Response
water_supply_school,response_covid19,COVID-19 Response
water_tank,response_covid19,COVID-19 Response
water_tankering,response_covid19,COVID-19 Response
water_quality_testing,response_covid19,COVID-19 Response
water_supply_community,response_covid19,COVID-19 Response
education_water,response_covid19,COVID-19 Response
water_filtration,response_covid19,COVID-19 Response
latrine_stalls_communal,response_covid19,COVID-19 Response
water_treatment,response_covid19,COVID-19 Response
latrine_stalls_household,response_covid19,COVID-19 Response
latrine_stalls_health_facility,response_covid19,COVID-19 Response
latrine_stalls_decommissioned,response_covid19,COVID-19 Response
latrine_stalls_desludged,response_covid19,COVID-19 Response
latrine_cleaning_kit,response_covid19,COVID-19 Response
septic_tank,response_covid19,COVID-19 Response
latrine_stalls_school,response_covid19,COVID-19 Response
solid_waste_management,response_covid19,COVID-19 Response
sewer_line,response_covid19,COVID-19 Response
education_vector_control_awareness,response_covid19,COVID-19 Response
education_hygiene_promotion_household_community,response_covid19,COVID-19 Response
education_hygiene_promotion_school,response_covid19,COVID-19 Response
drainage_provision,response_covid19,COVID-19 Response
hand_washing_facilities,response_covid19,COVID-19 Response
family_hygiene_kits_distributed,response_covid19,COVID-19 Response
hygiene_promotion_health_facilities,response_covid19,COVID-19 Response
washing_facilities,response_covid19,COVID-19 Response
disinfection_common_places_chlorine,response_covid19,COVID-19 Response
assessment_wash_community,response_covid19,COVID-19 Response
assessment_wash_school,response_covid19,COVID-19 Response
assessment_wash_health_facility,response_covid19,COVID-19 Response
evaluation_crm,response_covid19,COVID-19 Response
evaluation_results_monitoring,response_covid19,COVID-19 Response
evaluation_fgd,response_covid19,COVID-19 Response
evaluation_kap,response_covid19,COVID-19 Response
evaluation_kii,response_covid19,COVID-19 Response
evaluation_endline,response_covid19,COVID-19 Response
evaluation_pdm,response_covid19,COVID-19 Response
evaluation_csi,response_covid19,COVID-19 Response
evaluation_baseline,response_covid19,COVID-19 Response
assistance_through_cash_distribution,response_covid19,COVID-19 Response
using_the_wash_gbv_checklist,response_covid19,COVID-19 Response
assistance_through_voucher_distribution,response_covid19,COVID-19 Response
covid-19_mitigation_measures_in_placed,response_covid19,COVID-19 Response
gbv_risk_discussion_with_female_before_assistance,response_covid19,COVID-19 Response
receipt_for_technical_quality_assurance_by_the_authorities,response_covid19,COVID-19 Response
equitable_access_to_wash_facilities_services,response_covid19,COVID-19 Response
effective_mechanisms_for_input,response_covid19,COVID-19 Response
psychosocial_and_mental_health_support,provision_of_peer_to_peer_support_to_girls_boys_and_adults,"Provision of peer to peer support to girls, boys and adults"
psychosocial_and_mental_health_support,provision_of_specialized_mental_health_clinical_care_mhpss_to_girls_boys_and_adults,"Provision of specialized mental health clinical care (MHPSS) to girls, boys and adults"
psychosocial_and_mental_health_support,provision_of_focused_and_or_non_specialized_mhpss_services_to_girls_boys_and_adults,"Provision of focused and/or non-specialized MHPSS services to girls, boys and adults"
psychosocial_and_mental_health_support,provision_of_psychosocial_support_in_mobile_child_friendly_spaces_cfss_to_girls_boys_and_adults,"Provision of psychosocial support in mobile Child Friendly Spaces (CFSs) to girls, boys and adults"
awareness_raising_and_advocacy,provision_of_awareness_and_positive_parenting_sessions_to_parents_and_caregivers_to_support_their_childrens_psychosocial_wellbeing,Provision of awareness and positive parenting sessions to parents and caregivers to support their children's psychosocial wellbeing
psychosocial_and_mental_health_support,provision_of_pss_for_girls_and_boys_and_their_caregivers_with_alternative_modalities_including_home_based_and_outdoor_smaller_groups_and_community_based_activities,"Provision of PSS for girls and boys  and their caregivers with alternative modalities including home based and, outdoor smaller groups and community-based activities"
community_based_child_protection_system,strengthen_community_based_system_structure_to_prevent_grave_child_rights_violations,Strengthen community based system/structure to prevent grave child rights violations
