activity_description_id,indicator_id,indicator_name
equitable_access_to_wash_facilities_and_services,no_of_interventions_with_functional_two_way_feedback_mechanisms_in_place.,# of interventions with functional two way feedback mechanisms in place.
effective_mechanisms_for_representative_and_participatory_input,no_of_programatic_community_meetings_held_together_separately_with_men_women_children_and_persons_with_special_needs_older_persons_persons_with_disabilities.,"# of programatic community meetings held (together/separately) with men, women, children and persons with special needs (older persons/persons with disabilities)."
equitable_access_to_wash_facilities_services,no_of_interventions_with_functional_two_way_feedback_mechanisms_in_place.,# of interventions with functional two way feedback mechanisms in place.
effective_mechanisms_for_input,no_of_programatic_community_meetings_held_together_separately_with_men_women_children_and_persons_with_special_needs_older_persons_persons_with_disabilities.,"# of programatic community meetings held (together/separately) with men, women, children and persons with special needs (older persons/persons with disabilities)."
psychosocial_and_mental_health_support,no_of_children_and_their_caregivers_reached_with_center_mobile_and_home_based_activities_to_improve_their_mental_health_and_psychosocial_well_being_following_program_completion,"# of children and their caregivers reached with center, mobile and home based activities to improve their mental health and psychosocial well-being following program completion"
awareness_raising_and_advocacy,no_of_people_who_have_been_reached_by_information_on_the_danger_and_consequences_of_conflict_hazardous_child_labor_child_marriage_trafficking_other_harmful_practices_and_negative_coping_mechanisms,"# of people who have been reached by information on the danger and consequences of conflict, hazardous child labor, child marriage, trafficking, other harmful practices and negative coping mechanisms"
community_based_child_protection_system,no_of_community_members_incl_religious_leaders_govt_authorities_elders_civil_societies_and_volunteers_etc_sensitized_to_prevent_grave_child_rights_violations,"# of community members (incl: religious leaders, govt. authorities, elders, civil societies and volunteer's etc.) sensitized to prevent grave child rights violations"
training_capacity_building,no_of_case_workers_trained_and_mentored_on_integrated_case_management_services_including_caring_for_child_survivors_cs_of_sgbv,# of case workers trained and mentored on integrated case management services including Caring for Child Survivors (CS) of SGBV
child_protection_supplies_and_emergency_kits,no_of_children_and_their_caregivers_received_hygieneÂ supplies,# of children and their caregivers received hygieneÂ supplies
training_capacity_building,no_of_professionals_trained_to_deliver_landmines_and_other_explosive_weapons_related_risk_education,# of professionals trained to deliver landmines and other explosive weapons related risk education
training_capacity_building,no_of_cp_workers_trained_on_the_norms_and_standards_of_cp_adapt_new_tools_and_working_modalities_including_pss_pfa_and_covid_19_messages,"# of CP workers trained on the norms and standards of CP, adapt new tools and working modalities, including PSS, PFA, and COVID-19 messages"
