activity_type_id,activity_type_name,cluster_id
water,Water,wash
accountability,Accountability to Population,wash
cash_transfer_programming,Cash Transfer Programming,wash
hygiene,Hygiene,wash
sanitation,Sanitation,wash
assessment,WASH Assessment,wash
evaluation,WASH Evaluation,wash
cash_voucher,Cash and/or Voucher Activities,wash
wash_gbv_mitigation,WASH for GBV Mitigation,wash
accountability_quality_assurance,Accountability and Quality Assurance,wash
affected_population_accountability,Accountability to Affected Population (AAP),wash
cpie,CPiE,protection
gbv,GBV,protection
gp,GP,protection
hlp,HLP,protection
ma,MA,protection
acute_malnutrition,Acute Malnutrition,nutrition
nutrition_programmes,Nutrition Programmes,nutrition
nutrition_education_training,Nutrition Training,nutrition
nutrition_emergency,Nutrition Emergency,nutrition
screening_referral,Screening & Referral,nutrition
management_of_acute_malnutrition,Management of Acute Malnutrition,nutrition
prevention_of_malnutrition,Prevention of Malnutrition,nutrition
nutrition_counselling,Nutrition Counselling,nutrition
micronutrient_supplementation,Micronutrient Supplementation,nutrition
bms_distribution,BMS Distribution,nutrition
primary_health_care,Primary Health Care,health
births_assisted_skilled_birth_attendant,Births assisted by a skilled birth attendant,health
clinical_management_rape_cmr_pss_for_survivors,"Clinical management of rape (CMR), PSS for survivors",health
financial_support_for_health_care_costs_cash_vouchers,Financial Support for health care costs - Cash or Vouchers,health
hcw_training,HCW training,health
information_education_communications_iec_within_communities,"Information, education and communications (IEC) within communities",health
management_mental_disorders_health_care_provider,Management of mental disorders - by Health Care Provider,health
measles_vaccination_children_under_15,Measles vaccination (children <15),health
physical_rehabilitation_including_community_based,Physical rehabilitation (including community-based),health
mobile_health_iert_services,Mobile health (e.g. IERT) services,health
psychosocial_interventions_including_psychological_first_aid_health_care_provider_non_hcp,Psychosocial Interventions (including psychological first aid) - by Health Care Provider or non-HCP,health
primary_care_outpatient_services,Primary care - outpatient services,health
trauma_care,Trauma care,health
surveillance,Surveillance,health
support,Support,health
supply_logistics,Supply Logistics,health
phem,PHEM,health
mch,Mother & Child Health Care (MCH),health
vaccination,Vaccination/Immunization,health
infectious_diseases,Infectious Diseases,health
training_capacity_building,Training & Capacity Building,health
health_education_training,"Health Education, Training & Awareness",health
covid_19,COVID-19,health
community_health_nutrition,Community Health & Nutrition,health
general_clinical_services_trauma_care,General Clinical Services & Trauma Care,health
child_health,Child Health,health
communicable_diseases,Communicable Diseases,health
environmental_health,Environmental Health,health
sti_hiv_aids,STI & HIV/AIDS,health
maternal_newborn_health,Maternal & Newborn Health,health
non_communicable_disases,Non Communicable Diseases,health
sexual_violence,Sexual Violence,health
mental_health_pss,Mental Health & PSS,health
financial_support_cash_voucher,Financial Support (Cash/Voucher),health
health_care_worker_performance,Health Care Worker Performance,health
public_health_emergency_management,Public Health Emergency Management,health
food_assistance,Food Assistance,fsac
livelihood_support,Livelihood Support,fsac
affected_population_accountability,Accountability to Affected Population,fsac
fsac_assessments,FSAC Assessment,fsac
fsac_education_training,FSAC Education & Training,fsac
shelter_construction,Shelter Construction,esnfi
esnfi_distribution,ESNFI Distribution,esnfi
shelter_reconstruction_repair,Shelter Reconstruction/Repair,esnfi
hardware_materials_distribution,Distribution of Hardware/Materials,esnfi
cash_vouchers,Cash/Vouchers,esnfi
esnfi_education_training,DRR Training/Awareness,esnfi
emergency_shelter_kit,Emergency Shelter Kit,esnfi
emergency_shelter,Emergency Shelter (Localised Solution),esnfi
standard_emergency_shelter_kit,Standard Emergency Shelter Kit,esnfi
rental_support,Rental Support,esnfi
shelter_repair_upgrade,Upgrade/Repair of Shelters,esnfi
emergency_shelter_self_construction_repair_toolkit,Emergency Shelter Self Construction / Repair Toolkit,esnfi
standard_emergency_nfi_kit,Standard Emergency NFI Kit,esnfi
nfi_package,NFI Package,esnfi
transitional_shelter,Transitional Shelter,esnfi
permanent_shelter,Permanent Shelter,esnfi
standard_winterization_package,Standard Winterization Package,esnfi
standard_winter_clothing_kit,Standard Winter Clothing Kit,esnfi
winterization_package,Winterization Package,esnfi
esnfi_education_training,Capacity Building/Technical Support,esnfi
risk_communication,Risk Communication,esnfi
shelter_support_health_facilities,Shelter Support to Health Facilities,esnfi
emergency_shelter_kit_2tarps_1tent,Emergency Shelter Kit (2 Tarpaulin + 1 Tent),esnfi
