activity_description_id,indicator_id,indicator_name
accessible_classrooms_built_adopted_for_special_needs_learners,no_of_accessible_classrooms_built_adopted_for_special_needs_learners.,# of accessible classrooms built / adopted for special needs learners.
child_friendly_space_cfs_established,no_of_child_friendly_space_cfs_established,# of child friendly space (cfs) established
hand_washing_stations_provided_in_the_school_learning_centre_space,no_of_hand_washing_stations_provided_in_the_school_learning_centre_space,# of hand washing stations provided in the school / learning centre / space
children_participating_in_clubs_activities,no_of_children_participating_in_clubs_activities,# of children participating in clubs activities
hygiene_dignity_kits,no_of_hygiene_dignity_kits,# of hygiene / dignity kits
community_coalitions_ccs_members_trained,no_of_community_coalitions_ccs_members_trained,# of community coalitions (ccs) members trained
chairs_provided_to_teachers,no_of_chairs_provided_to_teachers,# of chairs provided to teachers
latrines_toilets_provided_in_the_school_learning_centre_space,no_of_latrines_toilets_provided_in_the_school_learning_centre_space,# of latrines / toilets provided in the school / learning centre / space
learners_enrolled,no_of_learners_enrolled,# of learners enrolled
boreholes_constructed,no_of_boreholes_constructed,# of boreholes constructed
marker_boards_provided,no_of_marker_boards_provided,# of marker boards provided
learning_pack_school_bags_stationaries_pencil_ruler_etc,no_of_learning_pack_school_bags_stationaries_pencil_ruler_etc.,"# of learning pack (school bags, stationaries, pencil, ruler etc.)"
master_trainers_facilitators_trained_on_teaching_at_the_right_level_tarl,no_of_master_trainers_facilitators_trained_on_teaching_at_the_right_level_tarl,# of master trainers/facilitators trained on teaching at the right level (tarl)
learners_receiving_supportive_aids_eg_eye_lenses_hearing_aids_wheel_chair_walking_aids_etc,no_of_learners_receiving_supportive_aids_e.g._eye_lenses_hearing_aids_wheel_chair_walking_aids_etc.,"# of learners receiving supportive aids e.g. eye lenses, hearing aids, wheel chair, walking aids etc."
quality_assurance_qa_officers_on_school_record_keeping,no_of_quality_assurance_qa_officers_on_school_record_keeping,# of quality assurance (qa) officers on school record keeping
sbmc_members_trained_in_psychosocial_support,no_of_sbmc_members_trained_in_psychosocial_support,# of sbmc members trained in psychosocial support
accessible_latrines_built_adopted_for_special_needs_learners,no_of_accessible_latrines_built_adopted_for_special_needs_learners.,# of accessible latrines built / adopted for special needs learners.
sbmc_members_trained_in_disaster_risk_reduction,no_of_sbmc_members_trained_in_disaster_risk_reduction,# of sbmc members trained in disaster risk reduction
school_mats_provided,no_of_school_mats_provided,# of school mats provided
parents_guardians_receiving_conditional_unconditional_cash_transfer,no_of_parents_guardians_receiving_conditional_unconditional_cash_transfer,# of parents / guardians receiving conditional / unconditional cash transfer
sbmc_members_trained_in_conflict_sensitive_education,no_of_sbmc_members_trained_in_conflict_sensitive_education,# of sbmc members trained in conflict sensitive education
sbmc_members_trained_in_school_management,no_of_sbmc_members_trained_in_school_management,# of sbmc members trained in school management
sbmc_members_trained_on_child_protection_in_emergencies,no_of_sbmc_members_trained_on_child_protection_in_emergencies,# of sbmc members trained on child protection in emergencies
sbmc_members_trained_in_psychological_first_aid,no_of_sbmc_members_trained_in_psychological_first_aid,# of sbmc members trained in psychological first aid
children_trained_in_vocational_training,no_of_children_trained_in_vocational_training,# of children trained in vocational training
desks_provided_to_learners,no_of_desks_provided_to_learners,# of desks provided to learners
teachers_volunteers_receiving_incentives_hardship_allowance,no_of_teachers_volunteers_receiving_incentives_hardship_allowance,# of teachers/volunteers receiving incentives/hardship allowance
sbmc_trainers_facilitators_trained_in_school_management,no_of_sbmc_trainers_facilitators_trained_in_school_management,# of sbmc trainers / facilitators trained in school management
blackboards_provided,no_of_blackboards_provided,# of blackboards provided
children_learners_supported_by_cash-transfers,no_of_children_learners_supported_by_cash_transfers,# of children / learners supported by cash-transfers
teachers_volunteers_receiving_training_allowance,no_of_teachers_volunteers_receiving_training_allowance,# of teachers/volunteers receiving training allowance
teachers_volunteers_trained_in_child_protection_in_emergencies,no_of_teachers_volunteers_trained_in_child_protection_in_emergencies,# of teachers/volunteers trained in child protection in emergencies
teachers_volunteers_trained_in_child_rights,no_of_teachers_volunteers_trained_in_child_rights,# of teachers/volunteers trained in child rights
back_to_school_campaign_conducted,no_of_back_to_school_campaign_conducted,# of back to school campaign conducted
sbmc_established,no_of_sbmc_established,# of sbmc established
teachers_volunteers_trained_in_school_safety_plan_and_management_and_child_protection,no_of_teachers_volunteers_trained_in_school_safety_plan_and_management_and_child_protection,# of teachers/volunteers trained in school safety plan and management and child protection
schools_with_functional_sbmcs,no_of_schools_with_functional_sbmcs,# of schools with functional sbmcs
teachers_volunteers_receiving_training_in_hygiene_promotion,no_of_teachers_volunteers_receiving_training_in_hygiene_promotion,# of teachers/volunteers receiving training in hygiene promotion
teachers_volunteers_trained_in_life_skills_and_mine_risk_education,no_of_teachers_volunteers_trained_in_life_skills_and_mine_risk_education,# of teachers/volunteers trained in life skills and mine risk education
teachers_volunteers_trained_on_early_child_care_development_eccd_concepts,no_of_teachers_volunteers_trained_on_early_child_care_development_eccd_concepts,# of teachers/volunteers trained on early child care development (eccd) concepts
tables_provided_to_teachers,no_of_tables_provided_to_teachers,# of tables provided to teachers
teachers_volunteers_trained_on_school_record_keeping,no_of_teachers_volunteers_trained_on_school_record_keeping,# of teachers/volunteers trained on school record keeping
teachers_volunteers_trained_in_cholera_mitigation_measures_cmm,no_of_teachers_volunteers_trained_in_cholera_mitigation_measures_cmm,# of teachers/volunteers trained in cholera mitigation measures (cmm
sbmc_committees_trained_in_supporting_the_school_to_be_special_needs_friendly,no_of_sbmc_committees_trained_in_supporting_the_school_to_be_special_needs_friendly.,# of sbmc committees trained in supporting the school to be special needs friendly.
teachers_volunteers_trained_in_gender_based_violence_gbv,no_of_teachers_volunteers_trained_in_gender_based_violence_gbv,# of teachers/volunteers trained in gender based violence (gbv)
early_childhood_development_ecd_kit_provided,no_of_early_childhood_development_ecd_kit_provided,# of early childhood development (ecd) kit provided
teachers_volunteers_trained_on_teaching_at_the_right_level_tarl,no_of_teachers_volunteers_trained_on_teaching_at_the_right_level_tarl,# of teachers/volunteers trained on teaching at the right level (tarl)
unicef_school_in_a_box_sib_kits_provided,no_of_unicef_school_in_a_box_sib_kits_provided,# of unicef school in a box (sib) kits provided
temporary_learning_space_tls_constructed,no_of_temporary_learning_space_tls_constructed,# of temporary learning space (tls) constructed
temporary_learning_space_tls_rehabilited,no_of_temporary_learning_space_tls_rehabilited,# of temporary learning space (tls) rehabilited
learners_with_disabilities_enrolled,no_of_learners_with_disabilities_enrolled,# of learners with disabilities enrolled
teachers_volunteers_trained_in_psychosocial_support_pss,no_of_teachers_volunteers_trained_in_psychosocial_support_pss,# of teachers/volunteers trained in psychosocial support (pss)
teachers_volunteers_trained_in_conflict_disaster_risk_reduction_cdrr,no_of_teachers_volunteers_trained_in_conflict_disaster_risk_reduction(cdrr,# of teachers/volunteers trained in conflict disaster risk reduction(cdrr)
unicef_school_in_a_carton_sic_kits_provided,no_of_unicef_school_in_a_carton_sic_kits_provided,# of unicef school in a carton (sic) kits provided
early_childhood_development_ecd_centers_established,no_of_early_childhood_development_ecd_centers_established,# of early childhood development (ecd) centers established
school_text_books_provided_to_teachers,no_of_school_text_books_provided_to_teachers,# of school text books provided to teachers
classrooms_rehabilited,no_of_classrooms_rehabilited,# of classrooms rehabilited
taps_installed,no_of_taps_installed,# of taps installed
teachers_volunteers_trained_on_child_centered_methodology,no_of_teachers_volunteers_trained_on_child_centered_methodology,# of teachers/volunteers trained on child centered methodology
teachers_volunteers_trained_in_positive_discipline,no_of_teachers_volunteers_trained_in_positive_discipline,# of teachers/volunteers trained in positive discipline
teachers_volunteers_trained_in_inclusive_practices_eg_braille_sign_language_disability_awareness_etc,no_of_teachers_volunteers_trained_in_inclusive_practices_e.g._braille_sign_language_disability_awareness_etc.,"# of teachers/volunteers trained in inclusive practices e.g. braille, sign language, disability awareness etc."
perimeter_fence_constructed,no_of_perimeter_fence_constructed,# of perimeter fence constructed
classrooms_constructed,no_of_classrooms_constructed,# of classrooms constructed
teachers_volunteers_trained_in_pedagogy,no_of_teachers_volunteers_trained_in_pedagogy,# of teachers/volunteers trained in pedagogy
schools_that_have_children_groups_clubs_recreation_activities,no_of_schools_that_have_children_groups_clubs_recreation_activities,# of schools that have children groups/clubs/recreation activities
equitable_access_to_wash_facilities_and_services,no_of_interventions_with_functional_two_way_feedback_mechanisms_in_place.,# of interventions with functional two way feedback mechanisms in place.
effective_mechanisms_for_representative_and_participatory_input,no_of_programatic_community_meetings_held_together_separately_with_men_women_children_and_persons_with_special_needs_older_persons_persons_with_disabilities.,"# of programatic community meetings held (together/separately) with men, women, children and persons with special needs (older persons/persons with disabilities)."
equitable_access_to_wash_facilities_services,no_of_interventions_with_functional_two_way_feedback_mechanisms_in_place.,# of interventions with functional two way feedback mechanisms in place.
effective_mechanisms_for_input,no_of_programatic_community_meetings_held_together_separately_with_men_women_children_and_persons_with_special_needs_older_persons_persons_with_disabilities.,"# of programatic community meetings held (together/separately) with men, women, children and persons with special needs (older persons/persons with disabilities)."
