activity_description_id,activity_description_name,activity_type_id,activity_type_name,cluster_id,,,
assessment_partially_damaged,Partially Damaged (Some internal walls collapsed, roof leaking, doors broken,),damaged_destroyed_shelter_assessment,Assessment of Damaged/Destroyed  Shelter,esnfi
livelihoods-support-backyard-vegetable-cultivation-1-month,Livelihoods support: backyard vegetable cultivation (1 month),hrp-2023-agriculture-based-livelihood-support,(HRP 2023) Agriculture Based Livelihood Support,fsac,,,
livelihoods-support-summer-cultivation-package-1-month,Livelihoods support: summer cultivation package (1 month),hrp-2023-agriculture-based-livelihood-support,(HRP 2023) Agriculture Based Livelihood Support,fsac,,,
livelihoods-support-winter-wheat-cultivation-package-1-month,Livelihoods support: winter wheat cultivation package (1 month),hrp-2023-agriculture-based-livelihood-support,(HRP 2023) Agriculture Based Livelihood Support,fsac,,,
cccm-wg-mobile-site-management,CCCM WG: Mobile Site Management,hrp-2023-cccm-assistance,(HRP 2023) CCCM Assistance,esnfi,,,
cccm-wg-site-care-and-maintenance,CCCM WG: Site Care and Maintenance,hrp-2023-cccm-assistance,(HRP 2023) CCCM Assistance,esnfi,,,
camp-coordination-and-camp-management-working-group,Camp Coordination and Camp Management Working Group,hrp-2023-cccm-mechanisms,(HRP 2023) CCCM Mechanisms,coordination,,,
accountability-to-affected-people-wg,Accountability to affected People WG,hrp-2023-coordination-and-common-services-,(HRP 2023) Coordination and Common Services ,coordination,,,
gender-in-humanitarian-action-tf,Gender in Humanitarian Action TF,hrp-2023-coordination-and-common-services-,(HRP 2023) Coordination and Common Services ,coordination,,,
disability-inclusion-wg,Disability Inclusion WG,hrp-2023-coordination-and-common-services-,(HRP 2023) Coordination and Common Services ,coordination,,,
coordination-common-services-and-information-management,"Coordination, common services and information management",hrp-2023-coordination-and-common-services-,(HRP 2023) Coordination and Common Services ,coordination,,,
assessments,Assessments,hrp-2023-coordination-and-common-services-,(HRP 2023) Coordination and Common Services ,coordination,,,
protection-from-sexual-exploitation-and-abuse-tf,Protection from Sexual Exploitation and Abuse TF,hrp-2023-coordination-and-common-services-,(HRP 2023) Coordination and Common Services ,coordination,,,
establish-and-train-shuras-on-roles-and-responsibilities-community-mobilization-and-preparedness-planning,"Establish and train Shuras on roles and responsibilities, community mobilization and preparedness planning",hrp-2023-curricula,(HRP 2023) Curricula,education,,,
teacher-training-activities-on-standardized-teacher-training-manual-including-pssdisability-and-inclusion,"Teacher training activities on standardized Teacher training manual, including PSS/disability and inclusion",hrp-2023-curricula,(HRP 2023) Curricula,education,,,
establishmaintain-community-based-classes-cbcs,Establish/maintain Community-Based Classes (CBCs).,hrp-2023-equal-access,(HRP 2023) Equal Access,education,,,
support-shock-affected-vulnerable-boys-and-girls-with-emergency-education-support,Support shock-affected vulnerable boys and girls with emergency education support.,hrp-2023-equal-access,(HRP 2023) Equal Access,education,,,
alternative-learning-modalities-developed-and-implemented,Alternative learning modalities developed and implemented,hrp-2023-equal-access,(HRP 2023) Equal Access,education,,,
food-assistance-for-cross-border-returnees-4-months,Food assistance for cross-border returnees (4 months),hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-idps-3-months,Food assistance for IDPs (3 months),hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-natural-disaster-affected-2-months,Food assistance for natural disaster-affected (2 months),hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-pakistani-refugees-6-months,Food assistance for Pakistani refugees (6 months),hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-people-in-ipc-phase-3-jan-apr-nov-dec-6-months,"Food assistance for people in IPC Phase 3 (Jan-Apr, Nov-Dec, 6 months)",hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-people-in-ipc-phase-3-may-oct-2-months,"Food assistance for people in IPC Phase 3 (May-Oct, 2 months)",hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-people-in-ipc-phase-4-jan-apr-nov-dec-6-months,"Food assistance for people in IPC Phase 4 (Jan-Apr, Nov-Dec, 6 months)",hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-people-in-ipc-phase-4-may-oct-6-months,"Food assistance for people in IPC Phase 4 (May-Oct, 6 months)",hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
bsfp-in-children-6-59-months,BSFP in children 6-59 months,hrp-2023-infant-and-young-child-feeding,(HRP 2023) Infant and Young Child Feeding,nutrition,,,
integrated-package-in-prioritized-provinces,Integrated package in prioritized provinces,hrp-2023-infant-and-young-child-feeding,(HRP 2023) Infant and Young Child Feeding,nutrition,,,
bsfp-in-plw,BSFP in PLW,hrp-2023-infant-and-young-child-feeding,(HRP 2023) Infant and Young Child Feeding,nutrition,,,
am-treatment-of-plw-in-opd,AM treatment of PLW in OPD,hrp-2023-infant-and-young-child-feeding,(HRP 2023) Infant and Young Child Feeding,nutrition,,,
miycn-counselling,MIYCN counselling,hrp-2023-infant-and-young-child-feeding,(HRP 2023) Infant and Young Child Feeding,nutrition,,,
livelihoods-support-for-natural-disaster-affected-1month,Livelihoods support for natural disaster-affected (1month),hrp-2023-livelihood-support,(HRP 2023) Livelihood Support,fsac,,,
livelihoods-support-for-asset-creation-6-months,Livelihoods support for asset creation (6 months),hrp-2023-livelihood-support,(HRP 2023) Livelihood Support,fsac,,,
livelihoods-support-backyard-poultry-package-1-month,Livelihoods support: backyard poultry package (1 month),hrp-2023-livestock-based-support,(HRP 2023) Livestock Based Support,fsac,,,
livelihoods-support-livestock-protection-package-1-month,Livelihoods support: livestock protection package (1 month),hrp-2023-livestock-based-support,(HRP 2023) Livestock Based Support,fsac,,,
containment-of-plant-pest-and-animal-disease-outbreaks,Containment of plant pest and animal disease outbreaks,hrp-2023-livestock-based-support,(HRP 2023) Livestock Based Support,fsac,,,
nfi-assistance,NFI Assistance,hrp-2023-nfi-assistance,(HRP 2023) NFI Assistance,esnfi,,,
unconditional-cash-transfer,Unconditional cash transfer,hrp-2023-non-agriculture-based-livelihood-support,(HRP 2023) Non-Agriculture Based Livelihood Support,fsac,,,
mnp-in-children-6-23-months,MNP in children 6-23 months,hrp-2023-prevention-and-control-of-micronutrients-deficiencies,(HRP 2023) Prevention and Control of Micronutrients Deficiencies,nutrition,,,
vitamin-a-supplementation-in-children-6-59-months,Vitamin A supplementation in children 6-59 months,hrp-2023-prevention-and-control-of-micronutrients-deficiencies,(HRP 2023) Prevention and Control of Micronutrients Deficiencies,nutrition,,,
community-screening-of-children-6-59-months,Community screening of children 6-59 months,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
community-based-sentinel-sites,Community based sentinel sites,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
coordination,Coordination,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
sam-treatment-of-children-0-59-months-in-ipd,SAM treatment of children 0-59 months in IPD,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
mam-treatment-of-children-6-59-months-in-opd,MAM treatment of children 6-59 months in OPD,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
sam-treatment-of-children-6-59-months-in-opd,SAM treatment of children 6-59 months in OPD,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
operational-research,Operational research,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
smart-surveys,SMART surveys,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
recruitment-deployment-and-payment-of-teachers,"Recruitment, deployment and payment of teachers.",hrp-2023-recruitment-and-selection,(HRP 2023) Recruitment and Selection,education,,,
shelter-repair-reconstruction-toolkit,Shelter repair reconstruction toolkit,hrp-2023-shelter-assistance,(HRP 2023) Shelter Assistance,esnfi,,,
shelter-repair-reconstruction-for-minor-damages,Shelter repair / reconstruction for minor damages,hrp-2023-shelter-assistance,(HRP 2023) Shelter Assistance,esnfi,,,
shelter-repair-reconstruction-for-severe-damages,Shelter repair / reconstruction for severe damages,hrp-2023-shelter-assistance,(HRP 2023) Shelter Assistance,esnfi,,,
emergency-shelter-kit-tent-2-pcs-of-plastic-tarpaulin,Emergency shelter kit (tent+ 2 pcs of plastic tarpaulin),hrp-2023-shelter-assistance,(HRP 2023) Shelter Assistance,esnfi,,,
emergency-shelter-assistance-cash-for-rent,Emergency shelter assistance (cash for rent),hrp-2023-shelter-assistance,(HRP 2023) Shelter Assistance,esnfi,,,
transitional-shelter-support,Transitional Shelter Support,hrp-2023-shelter-assistance,(HRP 2023) Shelter Assistance,esnfi,,,
winterization-support-in-cbe-alc-mbe-and-tls,"Winterization Support in CBE, ALC, MBE and TLS",hrp-2023-winterization,(HRP 2023) Winterization,education,,,
assistance-to-cover-winterization-needs-blankets-or-quilts,Assistance to cover winterization needs (Blankets or Quilts),hrp-2023-winterization-assistance,(HRP 2023) Winterization Assistance,esnfi,,,
