adm0_pcode,adm0_na_en,adm0_translation,adm1_pcode,adm1_na_en,adm1_translation,region_name,adm2_pcode,adm2_na_en,unit_type,lat,long
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0115,Surobi,District,"3,452,937","6,970,317"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0108,Mir Bacha Kot,District,"34,724,908","69,121,304"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0112,Farza,District,"34,795,567","69,015,164"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0106,Shakar Dara,District,"34,675,817","6,902,805"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0105,Deh Sabz,District,"34,650,609","69,316,857"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0107,Musahi,District,"34,368,034","69,216,383"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0109,Khak-e-Jabbar,District,"3,436,664","69,433,955"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0104,Bagrami,District,"34,473,942","69,322,392"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0101,Kabul,Capital,"34,525,438","69,135,179"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0111,Guldara,District,"34,748,657","6,900,299"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0113,Estalef,District,"34,848,476","69,022,911"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0102,Paghman,District,"34,541,674","68,935,676"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0103,Chahar Asyab,District,"34,382,486","69,069,775"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0110,Kalakan,District,"34,760,591","69,174,241"
AF,Afghanistan,افغانستان,AF01,Kabul,کابل,Capital,AF0114,Qara Bagh,District,"34,848,593","69,173,825"
AF,Afghanistan,افغانستان,AF02,Kapisa,کاپیسا,Capital,AF0201,Mahmood-e-Raqi,Provincial Centre,"35,008,995","69,411,263"
AF,Afghanistan,افغانستان,AF02,Kapisa,کاپیسا,Capital,AF0203,Koh Band,District,"35,103,598","6,946,738"
AF,Afghanistan,افغانستان,AF02,Kapisa,کاپیسا,Capital,AF0205,Nijrab,District,"35,044,043","69,643,253"
AF,Afghanistan,افغانستان,AF02,Kapisa,کاپیسا,Capital,AF0206,Tagab,District,"34,794,476","69,669,152"
AF,Afghanistan,افغانستان,AF02,Kapisa,کاپیسا,Capital,AF0204,Hisa-e-Awal-e-Kohistan,District,"35,135,441","69,343,543"
AF,Afghanistan,افغانستان,AF02,Kapisa,کاپیسا,Capital,AF0202,Hisa-e-Duwum-e-Kohistan,District,"35,069,465","69,322,156"
AF,Afghanistan,افغانستان,AF02,Kapisa,کاپیسا,Capital,AF0207,Alasay,District,"34,917,077","69,814,534"
AF,Afghanistan,افغانستان,AF03,Parwan,پروان,Capital,AF0307,Ghorband,District,"35,009,612","6,878,672"
AF,Afghanistan,افغانستان,AF03,Parwan,پروان,Capital,AF0308,Koh-e-Safi,District,"34,760,093","69,472,452"
AF,Afghanistan,افغانستان,AF03,Parwan,پروان,Capital,AF0306,Salang,District,"35,268,914","69,151,838"
AF,Afghanistan,افغانستان,AF03,Parwan,پروان,Capital,AF0309,Surkh-e-Parsa,District,"34,763,177","68,625,111"
AF,Afghanistan,افغانستان,AF03,Parwan,پروان,Capital,AF0305,Jabal Saraj,District,"35,121,363","69,188,012"
AF,Afghanistan,افغانستان,AF03,Parwan,پروان,Capital,AF0304,Sayed Khel,District,"35,060,558","69,267,166"
AF,Afghanistan,افغانستان,AF03,Parwan,پروان,Capital,AF0310,Shekh Ali,District,"34,947,204","68,420,132"
AF,Afghanistan,افغانستان,AF03,Parwan,پروان,Capital,AF0303,Shinwari,District,"35,120,253","68,970,799"
AF,Afghanistan,افغانستان,AF03,Parwan,پروان,Capital,AF0301,Charikar,Provincial Centre,"34,987,218","69,143,951"
AF,Afghanistan,افغانستان,AF03,Parwan,پروان,Capital,AF0302,Bagram,District,"34,923,978","69,329,134"
AF,Afghanistan,افغانستان,AF04,Maidan Wardak,میدان وردک,Capital,AF0403,Jalrez,District,"34,521,954","68,573,051"
AF,Afghanistan,افغانستان,AF04,Maidan Wardak,میدان وردک,Capital,AF0401,Maydan Shahr,Provincial Centre,"34,446,133","68,824,669"
AF,Afghanistan,افغانستان,AF04,Maidan Wardak,میدان وردک,Capital,AF0406,Daymirdad,District,"34,214,796","68,306,128"
AF,Afghanistan,افغانستان,AF04,Maidan Wardak,میدان وردک,Capital,AF0408,Jaghatu,District,"33,824,139","68,350,546"
AF,Afghanistan,افغانستان,AF04,Maidan Wardak,میدان وردک,Capital,AF0404,Chak-e-Wardak,District,"34,107,859","68,503,758"
AF,Afghanistan,افغانستان,AF04,Maidan Wardak,میدان وردک,Capital,AF0405,Saydabad,District,"33,917,201","68,655,222"
AF,Afghanistan,افغانستان,AF04,Maidan Wardak,میدان وردک,Capital,AF0409,Markaz-e-Behsud,District,"34,387,531","67,677,735"
AF,Afghanistan,افغانستان,AF04,Maidan Wardak,میدان وردک,Capital,AF0407,Hesa-e-Awal-e-Behsud,District,"34,516,168","68,197,051"
AF,Afghanistan,افغانستان,AF04,Maidan Wardak,میدان وردک,Capital,AF0402,Nerkh,District,"34,328,486","68,763,481"
AF,Afghanistan,افغانستان,AF05,Logar,لوگر,Capital,AF0501,Pul-e-Alam,Provincial Centre,"3,397,378","69,052,835"
AF,Afghanistan,افغانستان,AF05,Logar,لوگر,Capital,AF0502,Baraki Barak,District,"33,932,638","68,891,772"
AF,Afghanistan,افغانستان,AF05,Logar,لوگر,Capital,AF0503,Charkh,District,"33,820,429","68,916,813"
AF,Afghanistan,افغانستان,AF05,Logar,لوگر,Capital,AF0505,Mohammad Agha,District,"34,204,792","6,918,032"
