_id,admin0pcode,end_date,project_donor_id,project_donor_name,start_date
62189a2e5fe2c737c6aec379,AF,,acf,ACF,
62189a2e5fe2c737c6aec37a,AF,,afd,AFD,
62189a2e5fe2c737c6aec37c,AF,,aga_khan_foundation,Aga Khan Foundation,
62189a2e5fe2c737c6aec5bc,AF,,ahf,AHF,
62189a2e5fe2c737c6aec37b,AF,,asia_foundation,Asia Foundation,
62189a2e5fe2c737c6aec37e,AF,,auswartiges_amt,Auswartiges Amt,
62189a2e5fe2c737c6aec382,AF,,bprm,BPRM,
62189a2e5fe2c737c6aec5aa,AF,,dg_intpa,European Commission Directorate-General for International Partnerships,1/1/2022
62189a2e5fe2c737c6aec3a9,AF,,global_partnership_education,Global Partnership for Educaiton,
62189a2e5fe2c737c6aec3b8,AF,,islamic_relief,Islamic Relief,
62189a2e5fe2c737c6aec3c3,AF,,nca,NCA,
62189a2e5fe2c737c6aec3c9,AF,,rne,RNE,
62189a2e5fe2c737c6aec3d0,AF,,start_fund,START Fund,
62189a2e5fe2c737c6aec5b0,AF,,mptf,UN Multi-Partner Trust Fund,1/1/2022
62189a2e5fe2c737c6aec5b1,AF,,undp_trust_fund,UNDP Administered Trust Fund,1/1/2022
62189a2e5fe2c737c6aec3e1,AF,,zoa,ZOA,
62189a2e5fe2c737c6aec3e3,ALL,,aus_aid,AusAid,
62189a2e5fe2c737c6aec4bc,ALL,,australian_high_commission,Australian High Commission,
62189a2e5fe2c737c6aec3e4,ALL,,bmz,BMZ,
62189a2e5fe2c737c6aec3f2,ALL,,brac,BRAC,
62189a2e5fe2c737c6aec4ba,ALL,,british_high_commission,British High Commission,
62189a2e5fe2c737c6aec3e7,ALL,,care,Care,
62189a2e5fe2c737c6aec3e8,ALL,,caritas,Caritas ,
62189a2e5fe2c737c6aec5a8,ALL,,cerf,Central Emergency Respond Fund (CERF),1/1/2022
62189a2e5fe2c737c6aec3ea,ALL,,chf,CHF,
62189a2e5fe2c737c6aec38b,ALL,,christian_aid,Christian Aid,
62189a2e5fe2c737c6aec3eb,ALL,,cida,CIDA,
62189a2e5fe2c737c6aec3ec,ALL,,czech_aid,Czech Aid,
62189a2e5fe2c737c6aec3ed,ALL,,czech_mofa,Czech MOFA,
62189a2e5fe2c737c6aec4c2,ALL,,danish_international_development_agency,Danish International Development Agency,
62189a2e5fe2c737c6aec526,ALL,,giz,Deutsche Gesellschaft vir Internationale Zusammenarbeit (GIZ),
62189a2e5fe2c737c6aec3f1,ALL,,disaster_emergency_committee_dec,Disaster Emergency Committee (DEC),
62189a2e5fe2c737c6aec437,ALL,,dutch_relief_alliance,Dutch Relief Alliance,
62189a2e5fe2c737c6aec3f3,ALL,,ehf,EHF,
62189a2e5fe2c737c6aec52a,ALL,,e_belgium,Embassy of Belgium,
62189a2e5fe2c737c6aec53d,ALL,,e_china,Embassy of China,
62189a2e5fe2c737c6aec562,ALL,,embassy_of_denmark,Embassy of Denmark,
62189a2e5fe2c737c6aec563,ALL,,embassy_of_finland,Embassy of Finland,
62189a2e5fe2c737c6aec564,ALL,,embassy_of_france,Embassy of France,
62189a2e5fe2c737c6aec52e,ALL,,e_germany,Embassy of Germany,
62189a2e5fe2c737c6aec52f,ALL,,e_ireland,Embassy of Ireland,
62189a2e5fe2c737c6aec565,ALL,,embassy_of_israel,Embassy of Israel,
62189a2e5fe2c737c6aec4c9,ALL,,embassy_japan,Embassy of Japan,
62189a2e5fe2c737c6aec566,ALL,,embassy_of_poland,Embassy of Poland,
62189a2e5fe2c737c6aec567,ALL,,embassy_of_sweden,Embassy of Sweden,
62189a2e5fe2c737c6aec568,ALL,,embassy_of_switzerland,Embassy of Switzerland,
62189a2e5fe2c737c6aec569,ALL,,embassy_of_the_kingdom_of_netherlands,Embassy of the Kingdom of Netherlands,
62189a2e5fe2c737c6aec3a1,ALL,,ercs,ERCS,
62189a2e5fe2c737c6aec4cc,ALL,,europe_aid,EuropeAid,
62189a2e5fe2c737c6aec4d0,ALL,,european_commissioner_for_humanitarian_aid_and_civil_protection,European Commissioner for Humanitarian Aid and Civil Protection (ECHO),
62189a2e5fe2c737c6aec3f5,ALL,,fao,FAO,
62189a2e5fe2c737c6aec3f0,ALL,,fcdo,FCDO,
62189a2e5fe2c737c6aec538,ALL,,gf,Gates Foundation,
62189a2e5fe2c737c6aec5a2,ALL,,gavi,GAVI,1/1/2021
62189a2e5fe2c737c6aec44a,ALL,,german_federal_foreign_office,German Federal Foreign Office,
62189a2e5fe2c737c6aec56f,ALL,,german_federal_ministry_for_economic_coorperation_and_development,German Federal Ministry for Economic Coorperation and Development,
62189a2e5fe2c737c6aec3f9,ALL,,german_foreign_ministry,German Foreign Ministry,
62189a2e5fe2c737c6aec44e,ALL,,global_affairs_canada,Global Affairs Canada (GAC),
62189a2e5fe2c737c6aec3f8,ALL,,global_fund,Global Fund,
62189a2e5fe2c737c6aec4fc,ALL,,goa,Government of Australia,
62189a2e5fe2c737c6aec4fd,ALL,,gob,Government of Belgium,
62189a2e5fe2c737c6aec5a7,ALL,,government_of_canada,Government of Canada,1/1/2022
62189a2e5fe2c737c6aec3ab,ALL,,government_of_china,Government of China,
62189a2e5fe2c737c6aec5ab,ALL,,government_of_denmark,Government of Denmark,1/1/2022
62189a2e5fe2c737c6aec3ac,ALL,,government_of_ethiopia,Government of Ethiopia,
62189a2e5fe2c737c6aec500,ALL,,gof,Government of France,
62189a2e5fe2c737c6aec5ad,ALL,,government_of_germany,Government of Germany,1/1/2022
62189a2e5fe2c737c6aec501,ALL,,goi,Government of Italy,
