_id,cluster_id,stock_item_name
60c003008e856402218b5e38,health,Health: IEHK Basic Unit
60c003008e856402218b5e39,health,Health: IEHK Supplementary Unit
60c003008e856402218b5e3a,health,Health: New Born Kit
60c003008e856402218b5e3b,health,Health: Pneumonia Kit
60c003008e856402218b5e3c,health,Health: Trauma Kit A
60c003008e856402218b5e3d,health,Health: Trauma Kit B
60c003008e856402218b5e3e,health,Health: Miscellaneous
60c003008e856402218b5e3f,health,Health: Ringer Lactate
60c003008e856402218b5e40,health,Health: Tent (24sqm)
60c003008e856402218b5e41,health,Health: Chlorine Granules (25kg)
60c003008e856402218b5e42,health,Health: Cholera Community: Drugs Module
60c003008e856402218b5e43,health,Health: Cholera Community: Document Module
60c003008e856402218b5e44,health,Health: Cholera Community: ORP kit
60c003008e856402218b5e45,health,Health: DDK Kit
60c003008e856402218b5e46,health,"Health: Sprayer (12 L, IK 12 BS)"
60c003008e856402218b5e47,health,Health: Water Drinking Filter
60c003008e856402218b5e48,health,Health: Dignity Kit
60c003008e856402218b5e49,health,Health: Clean Delivery Kit
60c003008e856402218b5e4a,health,Health: Kitchen Kit
60c003008e856402218b5e4b,health,Health: RH Kit 0
60c003008e856402218b5e4c,health,Health: RH Kit 1A
60c003008e856402218b5e4d,health,Health: RH Kit 1B
60c003008e856402218b5e4e,health,Health: First Aid Kit
60c003008e856402218b5e4f,health,Health: RH Kit 2A
60c003008e856402218b5e50,health,Health: RH Kit 2B
60c003008e856402218b5e51,health,Health: RH Kit 3
60c003008e856402218b5e52,health,Health: RH Kit 4
60c003008e856402218b5e53,health,Health: RH Kit 6A
60c003008e856402218b5e54,health,Health: RH Kit 6B
60c003008e856402218b5e55,health,Health: RH Kit 7
60c003008e856402218b5e56,health,Health: RH Kit 5
60c003008e856402218b5e57,health,Health: RH Kit 9
60c003008e856402218b5e58,health,Health: RH Kit 10
60c003008e856402218b5e59,health,Health: RH Kit 8
60c003008e856402218b5e5a,health,Health: RH Kit 11A
60c003008e856402218b5e5b,health,Health: RH Kit 11B
60c003008e856402218b5e5c,health,Health: RH Kit 12
60c003008e856402218b5e5d,wash,WASH: Aquatabs 33mg
60c003008e856402218b5e5e,wash,WASH: Aquatabs 1.67g
60c003008e856402218b5e5f,wash,WASH: Basic Family Water Kit (10 Families)
60c003008e856402218b5e60,wash,"WASH: Water Tank (Bladder / Other) (2,000 Liters)"
60c003008e856402218b5e61,wash,"WASH: Water Tank (Bladder / Other) (3,000 Liters)"
60c003008e856402218b5e62,wash,"WASH: Water Tank (Bladder / Other) (4,000 Liters)"
60c003008e856402218b5e63,wash,"WASH: Water Tank (Bladder / Other) (5,000 Liters)"
60c003008e856402218b5e64,wash,"WASH: Water Tank (Bladder / Other) (10,000 Liters)"
60c003008e856402218b5e65,wash,"WASH: Water Tank (Bladder / Other) (15,000 Liters)"
