_id,admin0pcode,cluster,cluster_id,details,remarks,stock_item_name,stock_item_type
60c003008e856402218b5e38,AF,Health,health,,,Health: IEHK Basic Unit,health_iehk_basic_unit
60c003008e856402218b5e39,AF,Health,health,,,Health: IEHK Supplementary Unit,health_iehk_supplementary_unit
60c003008e856402218b5e3a,AF,Health,health,,,Health: New Born Kit,health_new_born_kit
60c003008e856402218b5e3b,AF,Health,health,,,Health: Pneumonia Kit,health_pneumonia_kit
60c003008e856402218b5e3c,AF,Health,health,,,Health: Trauma Kit A,health_trauma_kit_a
60c003008e856402218b5e3d,AF,Health,health,,,Health: Trauma Kit B,health_trauma_kit_b
60c003008e856402218b5e3e,AF,Health,health,,,Health: Miscellaneous,health_miscellaneous
60c003008e856402218b5e3f,AF,Health,health,,,Health: Ringer Lactate,Health: Ringer Lactate
60c003008e856402218b5e40,AF,Health,health,,,Health: Tent (24sqm),Health: Tent (24sqm)
60c003008e856402218b5e41,AF,Health,health,,,Health: Chlorine Granules (25kg),Health: Chlorine Granules (25kg)
60c003008e856402218b5e42,AF,Health,health,,,Health: Cholera Community: Drugs Module,Health: Cholera Community: Drugs Module
60c003008e856402218b5e43,AF,Health,health,,,Health: Cholera Community: Document Module,Health: Cholera Community: Document Module
60c003008e856402218b5e44,AF,Health,health,,,Health: Cholera Community: ORP kit,Health: Cholera Community: ORP kit
60c003008e856402218b5e45,AF,Health,health,,,Health: DDK Kit,health_ddk_kit
60c003008e856402218b5e46,AF,Health,health,,,"Health: Sprayer (12 L, IK 12 BS)","Health: Sprayer (12 L, IK 12 BS)"
60c003008e856402218b5e47,AF,Health,health,,,Health: Water Drinking Filter,Health: Water Drinking Filter
60c003008e856402218b5e48,AF,Health,health,,,Health: Dignity Kit,health_dignity_kit
60c003008e856402218b5e49,AF,Health,health,,,Health: Clean Delivery Kit,health_clean_delivery_kit
60c003008e856402218b5e4a,AF,Health,health,,,Health: Kitchen Kit,health_kitchen_kit
60c003008e856402218b5e4b,AF,Health,health,,,Health: RH Kit 0,health_rb_kit_0
