old_code,code,old_title,title
cccm,CCCM,CCCM,Camp Coordination / Management
gbv,PRO-GBV,GBV,Protection - Gender Based Violence
child_protection,PRO-CP,Child Protection,Protection - Child Protection
recuperacion_temprana,ERR,Recuperación Temprana,Early Recovery
coordinación_información,CCS,Coordinación/Información,Coordination and Common Services 
ningún_cluster,,Ningún Cluster,No Cluster
alojamientos_asentamientos,ESNFI,Alojamientos/Asentamientos,Emergency Shelter and NFI
san,FSAC,SAN,Food Security and Agriculture
cwcwg,CWC,CwCWG,Communication with Communities
smsd,CCCM,"Site Management, Site Development and DRR",Camp Coordination / Management
agriculture,FSAC,Agriculture,Food Security and Agriculture
cvwg,MPC,MPC,Multi-Purpose Cash
eiewg,EIE,EiEWG,Education in Emergencies
esnfi,ESNFI,ESNFI,Emergency Shelter and NFI
fss,FSAC,Food Security,Food Security and Agriculture
fsac,FSAC,FSAC,Food Security and Agriculture
health,HLH,Health,Health
nutrition,NUT,Nutrition,Nutrition
protection,PRO-P,Protection,Protection - General Protection
rnr_chapter,PRO-P,R&R Chapter,Protection - General Protection
education,EDU,Education,Education
wash,WASH,WASH,"Water, Sanitation and Hygiene "
pro-hlp,PRO-HLP,,"Protection - Housing, Land and Property"
pro-ma,PRO-MA,,Protection - Mine Action
